layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.1764,0.1764,0.249,0.2828,0.3085,0.3361,0.2295,0.3418,0.2362,0.829,1.009
2,0.1577,0.1577,0.3214,0.3699,1.5371,0.3916,0.2997,0.3899,0.3832,0.845,1.005
3,0.1577,0.1577,0.3378,0.4649,2.1284,0.9848,0.5351,0.7167,0.7942,0.845,1.171
4,0.1577,0.1577,0.3627,0.5296,1.4168,5.1653,1.1021,1.6901,1.7604,0.845,1.904
5,0.1577,0.1577,0.3916,0.5563,1.1043,4.2469,1.587,2.4577,1.8476,0.845,1.883
6,0.1577,0.1577,0.4214,0.5879,0.987,3.5354,1.3522,1.9976,1.5747,0.845,1.529
7,0.1577,0.1577,0.431,0.6018,0.8936,2.7371,1.1673,1.6546,1.3612,0.845,1.247
8,0.1577,0.1577,0.4213,0.5963,0.8372,2.2753,1.0675,1.4997,1.2512,0.845,1.095
9,0.1577,0.1577,0.4256,0.5961,0.7979,2.0716,1.0617,1.3667,1.1954,0.845,1.008
10,0.1577,0.1577,0.4315,0.5875,0.7695,2.0761,1.0225,1.3119,1.1727,0.845,0.966
11,0.159,0.159,0.443,0.619,0.7554,2.0235,1.0642,1.3047,1.1694,0.844,0.937
12,0.159,0.159,0.4482,0.6259,0.7314,1.9659,1.0177,1.2576,1.1694,0.844,0.918
13,0.159,0.159,0.4401,0.5847,0.6695,1.8518,0.9271,1.1241,1.1143,0.844,0.877
14,0.159,0.159,0.4449,0.5707,0.6619,1.7934,0.8722,1.0478,1.1072,0.844,0.876
15,0.159,0.159,0.4397,0.5578,0.6543,1.6618,0.8089,0.9688,1.1044,0.844,0.881
16,0.159,0.159,0.4282,0.5394,0.6452,1.5126,0.7545,0.9404,1.0949,0.844,0.882
17,0.159,0.159,0.4066,0.5621,0.6101,1.3896,0.7217,0.8626,1.0739,0.844,0.88
18,0.1591,0.1591,0.3967,0.5661,0.5774,1.3406,0.6575,0.7881,1.0686,0.844,0.891
19,0.1591,0.1591,0.3702,0.569,0.5195,1.2765,0.6544,0.7661,1.0465,0.844,0.911
20,0.1591,0.1591,0.3798,0.5883,0.5163,1.2276,0.6345,0.7652,1.0597,0.844,0.926
21,0.1591,0.1591,0.3965,0.6291,0.5087,1.1852,0.6231,0.7337,1.0618,0.844,0.946
22,0.1591,0.1591,0.3995,0.6549,0.4948,1.1659,0.5987,0.7008,1.0566,0.844,0.96
23,0.1591,0.1591,0.4001,0.6958,0.4861,1.1707,0.6104,0.6815,1.0549,0.844,0.977
24,0.1592,0.1592,0.3946,0.7544,0.4662,1.1601,0.6402,0.6643,1.0374,0.844,0.955
25,0.1592,0.1592,0.4,0.7991,0.4632,1.1663,0.6461,0.6686,1.0309,0.844,0.953
26,0.1592,0.1592,0.4083,0.8111,0.4612,1.1658,0.6552,0.6633,1.0269,0.844,0.945
27,0.1591,0.1591,0.4303,0.8363,0.4903,1.183,0.6635,0.6682,1.0274,0.844,0.945
28,0.1591,0.1591,0.4414,0.8747,0.4993,1.2016,0.6958,0.6632,1.0236,0.844,0.952
29,0.1591,0.1591,0.4657,0.8975,0.5233,1.2234,0.6959,0.6674,1.0295,0.844,0.975
30,0.1613,0.1613,0.5033,0.9096,0.5692,1.2887,0.7088,0.6888,1.0432,0.842,0.959
31,0.1623,0.1623,0.5716,0.9294,0.66,1.3088,0.787,0.7353,1.0946,0.842,1.02
32,0.3628,0.3628,0.703,0.9957,0.8389,1.4986,0.8901,0.898,1.1443,0.86,0.988
