tag,n_modules,send_total,send_max_module,send_top1pct_mean,clip_frac_mean,clip_frac_max,clip_frac_rtn_mean,obj_ratio_c4,n_c4_gptq_worse,obj_ratio_alt,n_alt_gptq_worse,comp_disp_rel_mean,wdisp_ratio,hdiag_max_over_mean_max,cond_max
llama,224,34130.91623067856,944.4156494140625,0.12873556311907514,0.002049885196041088,0.0021430253982543945,0.0014769840529378574,0.43407683676688597,0,0.9687308011074756,124,0.030695705523319163,1.412348008105353,14139.091796875,289481.46875
q7,196,58179.83220720291,3818.796875,0.1618065889734699,0.0020513512109533835,0.002261570521763393,0.0014479389154389184,0.18893707879474977,0,0.3784632576093402,34,0.041626312126343205,1.5089794265549419,10765.962890625,340604.28125
q14,336,156266.22727775574,2698.646240234375,0.16253810784491224,0.002040039546906002,0.0021232986450195313,0.0014791823316503449,0.187971358368802,0,0.6708642981191342,88,0.036479642307347473,1.4642534959738809,12640.5947265625,278238.0
