layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
31,7.8953,8.5973,0.2316,2.3992,9.8155,12.1174,10.4558,1.1454,12.1579,8.251,8.748,1.214,2.228,9.884,12.416,10.644,0.916,12.444,237.2,235.1,5917.0,147.2,150.3,118.0,164.6,141.3,137.4
32,7.257,7.8073,0.2316,2.1793,9.0526,11.4417,10.2028,1.1498,11.0633,7.62,8.017,1.214,1.987,9.127,11.743,10.353,0.907,11.359,257.1,256.7,5917.0,163.1,163.1,125.0,169.4,152.9,150.5
33,6.9278,7.419,0.2316,2.0317,8.4442,10.8825,9.4756,1.1692,10.2901,7.292,7.643,1.214,1.839,8.53,11.237,9.698,0.927,10.582,269.6,270.2,5916.8,174.5,175.6,131.5,181.8,164.6,162.2
34,6.2971,6.7824,0.2317,1.7785,7.6304,9.4921,8.6899,1.158,9.2028,6.645,7.014,1.214,1.6,7.717,9.861,8.937,0.886,9.503,296.7,295.1,5916.2,198.2,194.6,150.3,198.1,184.5,180.9
35,5.6727,5.9257,0.2317,1.6681,6.9284,7.3262,7.8322,1.1476,8.1973,6.052,6.243,1.214,1.463,7.014,7.703,8.082,0.891,8.519,325.9,331.7,5915.9,217.0,214.2,192.5,218.9,203.5,201.4
36,5.0847,5.2183,0.2332,1.4858,6.2675,6.4643,6.8902,1.1506,7.2823,5.473,5.561,1.215,1.277,6.391,6.865,7.221,0.917,7.626,362.5,374.6,5915.5,247.1,236.4,217.2,246.4,226.7,226.6
37,4.3467,4.4416,0.2333,1.398,5.6336,5.4734,6.3589,1.1213,6.4064,4.717,4.794,1.215,1.186,5.767,5.876,6.649,0.875,6.758,418.4,432.2,5914.4,269.5,261.9,253.7,266.7,262.0,254.9
38,3.6121,3.6851,0.2324,1.2885,5.134,4.4891,5.5378,1.0987,5.5466,4.039,4.105,1.214,1.123,5.269,4.847,5.805,0.92,5.926,488.5,504.5,5913.1,303.9,286.6,307.5,305.4,305.9,290.6
39,3.1609,3.2162,0.2346,1.2281,4.6872,3.9961,5.1678,1.0874,5.0091,3.621,3.677,1.216,1.075,4.83,4.343,5.428,0.927,5.395,545.1,563.5,5893.7,331.0,312.4,343.4,326.3,335.5,319.9
40,2.8465,2.8972,0.2363,1.197,4.2669,3.4471,4.809,1.0696,4.382,3.299,3.352,1.218,1.062,4.41,3.729,5.024,0.911,4.774,591.8,611.6,5856.1,355.6,337.0,394.3,348.0,373.0,358.6
41,2.395,2.3994,0.2319,1.14,3.799,3.1163,4.3986,1.0413,3.7595,2.885,2.895,1.212,1.023,3.95,3.332,4.593,0.923,4.163,661.2,692.4,5818.6,394.1,365.2,428.1,369.9,420.1,402.5
42,2.154,2.156,0.235,1.1016,3.3364,2.7652,4.0378,1.0158,3.3322,2.642,2.648,1.215,1.026,3.489,2.952,4.216,0.917,3.732,707.7,742.4,5744.5,423.6,401.7,470.2,392.2,456.9,439.3
43,1.8928,1.9135,0.2398,1.0887,2.9914,2.4459,3.5227,1.0197,2.9734,2.374,2.394,1.219,1.005,3.102,2.593,3.72,0.933,3.352,760.9,791.8,5640.4,446.7,429.5,510.1,426.3,488.6,471.4
44,1.7946,1.7691,0.2403,1.0689,2.6264,2.1909,3.0872,0.9857,2.5541,2.237,2.217,1.218,0.962,2.75,2.309,3.288,0.923,2.923,778.7,822.2,5534.2,492.0,464.8,552.9,464.3,539.3,521.2
45,0.962,0.9229,0.402,1.0822,1.4221,1.3028,1.4065,0.9747,1.1945,1.001,0.924,1.301,0.946,1.289,1.145,1.368,0.905,1.268,800.3,842.9,2693.1,529.8,499.4,587.9,504.4,590.1,575.2
46,0.9195,0.8862,0.4053,1.02,1.3056,1.164,1.2995,0.9838,1.1222,0.863,0.872,0.88,0.993,1.053,0.903,1.272,0.979,1.156,890.1,941.3,2107.2,610.4,580.1,684.1,574.0,663.0,645.0
47,2.0885,1.6542,0.7151,0.8941,1.4434,1.4997,1.9591,0.8489,1.9474,2.536,2.068,1.522,0.94,1.463,1.595,2.282,0.996,2.262,1070.2,1155.2,3010.3,857.3,816.8,802.0,770.8,906.1,848.0
48,1.4653,1.4191,1.1712,1.0593,1.2444,1.2753,1.2557,1.3135,1.2687,1.235,1.046,1.039,0.776,0.847,0.849,0.81,1.056,0.803,139.6,169.0,161.1,217.7,215.4,205.6,194.1,211.1,213.6
