module,rel_fro,max_absdiff,maxW_a,maxW_b,zero_frac_a,zero_frac_b,zero_rows_a,zero_rows_b,zero_cols_a,zero_cols_b,nonfinite_b
model.layers.23.self_attn.k_proj.weight,0.31826987862586975,0.036376953125,0.06591796875,0.06591796875,0.31594324111938477,0.316272497177124,0,0,0,0,0
model.layers.23.self_attn.o_proj.weight,0.3312655985355377,0.0252685546875,0.080078125,0.07861328125,0.3214516043663025,0.3217318058013916,0,0,0,0,0
model.layers.23.self_attn.q_proj.weight,0.30786922574043274,0.037353515625,0.08056640625,0.07666015625,0.31705427169799805,0.3171558976173401,0,0,0,0,0
model.layers.23.self_attn.v_proj.weight,0.2969897389411926,0.00872802734375,0.0281982421875,0.028076171875,0.32166075706481934,0.32147812843322754,0,0,0,0,0
model.layers.24.mlp.down_proj.weight,0.3351813554763794,0.020263671875,0.171875,0.171875,0.3169713616371155,0.31706756353378296,0,0,0,0,0
model.layers.24.mlp.gate_proj.weight,0.2907257080078125,0.0201416015625,0.0810546875,0.08203125,0.3141991198062897,0.31441619992256165,0,0,0,0,0
model.layers.24.mlp.up_proj.weight,0.2904738187789917,0.02880859375,0.0859375,0.08642578125,0.3150293529033661,0.3152347505092621,0,0,0,0,0
model.layers.24.self_attn.k_proj.weight,0.31858107447624207,0.029541015625,0.06982421875,0.07421875,0.31599926948547363,0.31606173515319824,0,0,0,0,0
model.layers.24.self_attn.o_proj.weight,0.32542940974235535,0.0213623046875,0.083984375,0.08544921875,0.3213376998901367,0.32183223962783813,0,0,0,0,0
model.layers.24.self_attn.q_proj.weight,0.30627042055130005,0.018707275390625,0.0654296875,0.0654296875,0.31717246770858765,0.3171616792678833,0,0,0,0,0
model.layers.24.self_attn.v_proj.weight,0.2923907935619354,0.0134124755859375,0.03173828125,0.03173828125,0.3213231563568115,0.3215007781982422,0,0,0,0,0
model.layers.25.mlp.down_proj.weight,0.3358609974384308,0.0220947265625,0.12353515625,0.12353515625,0.3167189061641693,0.31685546040534973,0,0,0,0,0
model.layers.25.mlp.gate_proj.weight,0.28854241967201233,0.0234375,0.1240234375,0.1240234375,0.31451770663261414,0.31468814611434937,0,0,0,0,0
model.layers.25.mlp.up_proj.weight,0.2880202531814575,0.0162353515625,0.06494140625,0.06298828125,0.3151825964450836,0.31531429290771484,0,0,0,0,0
model.layers.25.self_attn.k_proj.weight,0.31542521715164185,0.01861572265625,0.05859375,0.052490234375,0.3152186870574951,0.31511521339416504,0,0,0,0,0
model.layers.25.self_attn.o_proj.weight,0.3269270062446594,0.04296875,0.12890625,0.12890625,0.3225663900375366,0.3228137493133545,0,0,0,0,0
model.layers.25.self_attn.q_proj.weight,0.3057665228843689,0.017669677734375,0.054443359375,0.052001953125,0.31669265031814575,0.3166077733039856,0,0,0,0,0
model.layers.25.self_attn.v_proj.weight,0.2925065755844116,0.010498046875,0.0380859375,0.037353515625,0.32183051109313965,0.32214832305908203,0,0,0,0,0
