layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.1627,0.1627,0.2677,0.3017,0.3288,0.3472,0.2432,0.3738,0.252,0.845,1.005
2,0.1713,0.1713,0.3406,0.3841,1.2008,0.3976,0.3124,0.4235,0.3562,0.832,0.982
3,0.1713,0.1713,0.3661,0.4418,1.8801,0.5399,0.3939,0.4817,0.4824,0.832,0.998
4,0.1714,0.1714,0.379,0.5125,1.2712,0.5461,0.4386,0.5236,0.5272,0.832,0.99
5,0.1714,0.1714,0.4237,0.5361,1.0011,0.5108,0.4625,0.5327,0.5195,0.832,0.942
6,0.1714,0.1714,0.4635,0.5495,0.9105,0.5231,0.4962,0.5601,0.5228,0.832,0.926
7,0.1713,0.1713,0.4831,0.5785,0.8348,0.4968,0.5244,0.583,0.5339,0.832,0.938
8,0.1714,0.1714,0.4835,0.5742,0.7892,0.4714,0.537,0.5813,0.5477,0.832,0.935
9,0.1714,0.1714,0.4854,0.6077,0.7678,0.4721,0.5639,0.5721,0.5631,0.832,0.939
10,0.1714,0.1714,0.4925,0.6231,0.7567,0.4938,0.597,0.5627,0.5761,0.832,0.951
11,0.1725,0.1725,0.5119,0.6514,0.7553,0.5084,0.6304,0.5639,0.5927,0.831,0.955
12,0.1725,0.1725,0.5101,0.6745,0.7304,0.5246,0.6516,0.5734,0.6134,0.831,0.963
13,0.1725,0.1725,0.5018,0.6425,0.6931,0.518,0.6108,0.5487,0.5896,0.831,0.948
14,0.1725,0.1725,0.5046,0.6124,0.6987,0.5293,0.5645,0.5174,0.5913,0.831,0.966
15,0.1725,0.1725,0.5013,0.5977,0.6905,0.5339,0.5085,0.482,0.5919,0.831,0.967
16,0.1725,0.1725,0.4876,0.5788,0.6887,0.5692,0.4762,0.4662,0.5846,0.831,0.97
17,0.1726,0.1726,0.4701,0.5833,0.6622,0.5999,0.4639,0.4431,0.5695,0.831,0.958
18,0.1726,0.1726,0.4711,0.6049,0.6467,0.6385,0.4596,0.4229,0.5683,0.831,0.96
19,0.1726,0.1726,0.4223,0.605,0.6055,0.6703,0.4708,0.4391,0.5631,0.831,0.962
20,0.1726,0.1726,0.4301,0.631,0.6168,0.6809,0.4809,0.4443,0.5757,0.831,0.976
21,0.1727,0.1727,0.4705,0.6604,0.6283,0.7201,0.4757,0.4381,0.5883,0.831,0.993
22,0.1727,0.1727,0.4612,0.692,0.622,0.734,0.4924,0.4429,0.6019,0.831,0.983
23,0.1727,0.1727,0.4557,0.7467,0.6214,0.7784,0.5052,0.4379,0.6144,0.831,0.988
24,0.1727,0.1727,0.4411,0.7998,0.6108,0.7878,0.5296,0.4474,0.622,0.831,0.981
25,0.1727,0.1727,0.4472,0.8492,0.6103,0.8068,0.5575,0.4599,0.6344,0.831,0.982
26,0.1727,0.1727,0.4483,0.8553,0.6114,0.8369,0.5873,0.4669,0.6464,0.831,0.976
27,0.1727,0.1727,0.4658,0.8742,0.6465,0.8646,0.628,0.4963,0.6642,0.831,0.968
28,0.1727,0.1727,0.4663,0.9162,0.6516,0.8666,0.6557,0.4966,0.6698,0.831,0.971
29,0.1727,0.1727,0.4836,0.9492,0.676,0.8877,0.6796,0.4971,0.6802,0.831,0.973
30,0.1728,0.1728,0.5265,0.9379,0.7266,0.8899,0.707,0.5026,0.6948,0.832,0.971
31,0.1758,0.1758,0.5957,0.9601,0.8015,0.8995,0.7682,0.5382,0.7221,0.832,0.977
32,0.4387,0.4387,0.7339,1.0378,1.044,0.8131,0.9643,0.668,0.7645,0.875,1.002
