layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99148,0.99469,0.11975,
2,0.99237,0.99614,0.1123,
3,0.9914,0.9956,0.12078,
4,0.98927,0.99256,0.13429,
5,0.97764,0.98931,0.24402,
6,0.96298,0.9731,0.26445,
7,0.94539,0.94448,0.32896,
8,0.92937,0.92883,0.37491,
9,0.90821,0.90335,0.43253,
10,0.89453,0.8812,0.46374,
11,0.87915,0.85669,0.48828,
12,0.86185,0.83761,0.53596,
13,0.85025,0.82454,0.54983,
14,0.83567,0.81117,0.56607,
15,0.82081,0.79621,0.58558,
16,0.81383,0.79344,0.59319,
17,0.79938,0.75913,0.61163,
18,0.78498,0.74957,0.63151,
19,0.77782,0.73936,0.64403,
20,0.7708,0.72351,0.65633,
21,0.76543,0.73202,0.65807,
22,0.76256,0.74616,0.66041,
23,0.75376,0.74168,0.66761,
24,0.75214,0.74267,0.66678,
25,0.74783,0.75017,0.67829,
26,0.73109,0.7413,0.69711,
27,0.70408,0.70638,0.72952,
28,0.6906,0.67971,0.74978,
29,0.7004,0.65729,0.74033,
30,0.69428,0.66349,0.75833,
31,0.69751,0.63604,0.76418,
32,0.70107,0.63135,0.76683,
33,0.69198,0.60726,0.77952,
34,0.69079,0.57577,0.7816,
35,0.70976,0.6137,0.76277,
36,0.71465,0.59569,0.75957,
37,0.7188,0.58996,0.76364,
38,0.73228,0.6258,0.75028,
39,0.73383,0.63821,0.74974,
40,0.73401,0.63368,0.75601,
41,0.7465,0.65479,0.74299,
42,0.74808,0.66739,0.74792,
43,0.74114,0.6657,0.75305,
44,0.74035,0.64923,0.75114,
45,0.73456,0.63412,0.75357,
46,0.7418,0.62848,0.74727,
47,0.78317,0.69183,0.6798,
48,0.65291,0.5173,0.80627,0.5353
