layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97165,0.96287,0.23904,
2,0.91178,0.93363,0.39042,
3,0.74883,0.73559,0.7818,
4,0.46239,0.52228,1.71014,
5,0.3743,0.46136,1.78912,
6,0.36477,0.45704,1.52653,
7,0.35566,0.45802,1.31788,
8,0.34761,0.44053,1.20942,
9,0.34199,0.43273,1.1549,
10,0.33878,0.32605,1.133,
11,0.32311,0.31221,1.13026,
12,0.30958,0.31775,1.12804,
13,0.35063,0.38423,1.07286,
14,0.35761,0.34141,1.06373,
15,0.36435,0.30792,1.05709,
16,0.37647,0.2861,1.04493,
17,0.39981,0.28233,1.02257,
18,0.41308,0.29564,1.01472,
19,0.447,0.30604,0.9927,
20,0.44217,0.27766,1.00374,
21,0.45043,0.27836,1.00511,
22,0.46385,0.30925,0.99958,
23,0.47296,0.31871,0.99838,
24,0.4769,0.34144,0.9832,
25,0.48019,0.37068,0.97823,
26,0.48012,0.37473,0.97492,
27,0.47815,0.3893,0.97678,
28,0.48394,0.40015,0.97486,
29,0.48777,0.4086,0.98138,
30,0.46691,0.39433,0.99636,
31,0.44349,0.3465,1.04668,
32,0.36225,0.21774,1.10795,0.2731
