layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
24,0.5191,0.4382,0.2223,0.4095,0.3783,0.4486,0.6251,0.4536,0.3834,1.069,0.974,0.8,0.945,0.987,1.019,1.027,1.011,1.009,164.8,171.6,5641.8,110.7,112.8,100.7,134.5,100.8,100.7
25,0.5296,0.4285,0.222,0.4429,0.3781,0.4672,0.6141,0.4543,0.3833,1.06,0.968,0.8,0.96,1.004,1.067,1.021,1.013,1.009,167.6,181.0,5668.7,115.1,119.6,101.5,140.8,111.6,106.2
26,0.536,0.4327,0.2213,0.4645,0.3903,0.492,0.6044,0.4856,0.3957,1.055,0.965,0.801,0.984,1.015,1.083,0.992,1.018,1.003,166.7,179.9,5686.9,112.8,124.2,103.8,146.5,115.2,109.9
27,0.5148,0.4203,0.2208,0.4877,0.4068,0.5361,0.6205,0.5171,0.4195,1.031,0.959,0.801,0.988,1.015,1.12,0.994,1.027,1.008,172.0,184.1,5761.8,114.6,127.2,104.1,142.3,118.2,111.2
28,0.4564,0.4135,0.2255,0.5004,0.4216,0.5567,0.6099,0.5365,0.4332,0.967,0.954,0.795,0.982,1.028,1.134,0.994,1.033,1.006,199.3,194.9,5870.7,116.8,131.3,107.1,148.6,123.2,116.0
29,0.4777,0.4323,0.2262,0.4979,0.433,0.5477,0.6175,0.5511,0.428,0.943,0.962,0.795,0.951,1.031,1.113,0.993,1.039,1.01,213.0,206.3,5898.6,127.0,135.3,111.6,148.7,126.0,123.3
30,0.4941,0.4453,0.2255,0.4985,0.444,0.5383,0.6043,0.5603,0.4373,0.953,0.961,0.796,0.98,1.02,1.1,0.974,1.001,1.016,223.8,217.7,5917.1,132.3,140.0,114.8,157.4,137.3,129.3
31,0.4876,0.4325,0.2255,0.481,0.4508,0.5375,0.6022,0.5722,0.4424,0.97,0.959,0.796,0.991,1.018,1.087,0.964,1.008,1.016,237.2,235.1,5917.0,147.2,150.3,118.0,164.6,141.3,137.4
32,0.4856,0.4265,0.2256,0.4831,0.4897,0.5342,0.6138,0.5931,0.4451,0.967,0.949,0.796,0.975,1.023,1.078,0.989,1.026,1.018,257.1,256.7,5917.0,163.1,163.1,125.0,169.4,152.9,150.5
33,0.5031,0.4387,0.2256,0.5094,0.5096,0.5396,0.6192,0.6195,0.4583,0.979,0.956,0.796,0.975,1.035,1.056,0.989,1.011,1.014,269.6,270.2,5916.8,174.5,175.6,131.5,181.8,164.6,162.2
34,0.501,0.4379,0.2256,0.5072,0.5321,0.5205,0.6186,0.6359,0.4631,0.983,0.969,0.796,0.975,1.034,1.039,0.991,1.017,1.011,296.7,295.1,5916.2,198.2,194.6,150.3,198.1,184.5,180.9
35,0.4972,0.4234,0.2257,0.5114,0.5502,0.4619,0.6012,0.6574,0.4639,0.985,0.967,0.796,0.994,1.042,1.077,1.001,1.046,1.015,325.9,331.7,5915.9,217.0,214.2,192.5,218.9,203.5,201.4
36,0.4974,0.4139,0.2257,0.5066,0.5687,0.4551,0.569,0.658,0.4622,0.967,0.963,0.796,0.962,1.023,1.061,0.992,1.025,1.013,362.5,374.6,5915.5,247.1,236.4,217.2,246.4,226.7,226.6
37,0.4973,0.4122,0.2258,0.5142,0.5948,0.4335,0.5862,0.6691,0.4691,0.972,0.976,0.795,1.013,1.02,1.058,0.977,1.016,1.022,418.4,432.2,5914.4,269.5,261.9,253.7,266.7,262.0,254.9
38,0.4857,0.3962,0.2267,0.5157,0.6341,0.422,0.5684,0.6351,0.4647,0.97,0.978,0.794,1.015,1.041,1.043,0.956,1.003,1.022,488.5,504.5,5913.1,303.9,286.6,307.5,305.4,305.9,290.6
39,0.473,0.3807,0.2249,0.5118,0.6658,0.4505,0.6,0.6324,0.4708,0.958,0.967,0.796,1.01,1.043,1.068,0.972,1.005,1.021,545.1,563.5,5893.7,331.0,312.4,343.4,326.3,335.5,319.9
40,0.474,0.3883,0.2239,0.5228,0.7002,0.4541,0.6301,0.6381,0.4759,0.963,0.964,0.798,1.036,1.079,1.06,0.981,1.009,1.021,591.8,611.6,5856.1,355.6,337.0,394.3,348.0,373.0,358.6
41,0.4586,0.3711,0.2236,0.5154,0.7289,0.4864,0.6621,0.631,0.4725,0.953,0.963,0.799,1.046,1.108,1.061,1.009,1.001,1.023,661.2,692.4,5818.6,394.1,365.2,428.1,369.9,420.1,402.5
42,0.4596,0.3729,0.2247,0.5115,0.7509,0.5294,0.7014,0.6315,0.4777,0.954,0.965,0.799,1.048,1.098,1.071,1.037,1.003,1.023,707.7,742.4,5744.5,423.6,401.7,470.2,392.2,456.9,439.3
43,0.454,0.3692,0.2233,0.5131,0.7857,0.5652,0.7009,0.6459,0.489,0.958,0.959,0.801,1.053,1.099,1.082,1.032,1.025,1.023,760.9,791.8,5640.4,446.7,429.5,510.1,426.3,488.6,471.4
44,0.4753,0.3822,0.2273,0.5014,0.8181,0.5986,0.7149,0.6545,0.4915,0.973,0.975,0.797,1.065,1.13,1.089,1.039,1.017,1.019,778.7,822.2,5534.2,492.0,464.8,552.9,464.3,539.3,521.2
45,0.5039,0.406,0.375,0.5015,0.8465,0.6499,0.7203,0.6648,0.499,0.982,0.982,0.703,1.051,1.15,1.092,1.03,1.02,1.013,800.3,842.9,2693.1,529.8,499.4,587.9,504.4,590.1,575.2
46,0.5208,0.4147,0.3339,0.4932,0.8182,0.671,0.6921,0.6627,0.5041,0.993,0.992,0.808,1.071,1.098,1.086,1.012,1.02,1.019,890.1,941.3,2107.2,610.4,580.1,684.1,574.0,663.0,645.0
47,0.5334,0.4016,0.3076,0.4022,0.6566,0.6855,0.5768,0.5515,0.4551,0.947,0.967,0.8,1.048,1.045,1.131,1.025,1.04,1.012,1070.2,1155.2,3010.3,857.3,816.8,802.0,770.8,906.1,848.0
48,0.6449,0.4481,0.8742,0.6036,0.7073,0.7681,0.8962,0.6239,0.5702,0.969,0.983,0.809,0.963,1.036,0.951,1.003,1.033,1.001,139.6,169.0,161.1,217.7,215.4,205.6,194.1,211.1,213.6
