tag,layer,send_total,clip_frac_mean,obj_ratio_c4,obj_ratio_alt,comp_disp_rel_mean,worst_module
llama,0,2557.3826541900635,0.0020372405344126175,0.211112798609237,0.3975107464597899,0.07990758827830988,q_proj
llama,1,1826.932713508606,0.0020447385554410976,0.20636139484306096,0.24233708305579763,0.08271278846558405,down_proj
llama,2,1181.2668867111206,0.0020466763146069584,0.3239588498657854,0.680775536921104,0.035664682784433244,down_proj
llama,3,880.3957948684692,0.0020479924824773044,0.4201613690324697,0.7539627036883906,0.024660190382503975,down_proj
llama,4,929.6480798721313,0.0020540952682495117,0.40664940320520016,0.9059655291931129,0.026620106743425447,down_proj
llama,5,961.665997505188,0.0020501066227348484,0.42770077227372194,1.2257947851946311,0.028611642471176108,down_proj
llama,6,871.0262184143066,0.002050298817303716,0.43859948488683836,1.0817920720012153,0.02441797311337893,down_proj
llama,7,837.5836048126221,0.0020534420499996263,0.43677589176694953,1.08558780996863,0.02365498185060917,down_proj
llama,8,879.365122795105,0.0020518935456567884,0.4272246939081023,1.1597627016849086,0.02527396340624605,down_proj
llama,9,888.2281713485718,0.0020510797597924056,0.44143873413793056,1.1225365363175754,0.024705953644095707,down_proj
llama,10,917.8810234069824,0.002051533484945492,0.418361438037912,1.186708412529077,0.025857221376573872,down_proj
llama,11,856.1989603042603,0.0020506309003246073,0.43570232765827643,1.1358448314975786,0.0240899935633783,down_proj
llama,12,903.3724193572998,0.0020485617676559756,0.4384434311910408,1.0993017614083078,0.024182758358458564,down_proj
llama,13,967.9181237220764,0.002051143013701147,0.41813920917212233,1.1149140934991248,0.02635871761089629,down_proj
llama,14,1039.0202322006226,0.002049152948418442,0.39511529063539774,1.0174877303576022,0.02885402501475149,down_proj
llama,15,1061.2616300582886,0.0020419979582027513,0.43343148499817474,1.043921119093012,0.02819954930877581,down_proj
llama,16,1073.9547119140625,0.0020599280084882465,0.4238922276656151,1.0460023546467117,0.03047642453999313,down_proj
llama,17,1062.2809829711914,0.002054621978681915,0.44432363679920867,1.0543914337979097,0.028427191476159307,down_proj
llama,18,1033.3845100402832,0.00205189476207811,0.4550805260930542,1.0218623921213452,0.029375084146831727,gate_proj
llama,19,1000.9195880889893,0.0020517220302503935,0.46618890509362465,1.0402100335850928,0.028001601867465885,down_proj
llama,20,1012.8199768066406,0.0020464245153933155,0.46489953190224736,1.077261678523998,0.028599584953891005,down_proj
llama,21,1017.8293113708496,0.0020478416462333835,0.46689615394050055,1.0584480293333582,0.028295872835003878,down_proj
llama,22,1017.9108724594116,0.0020539176707365073,0.46173631880417965,1.062284464528651,0.028907923575972643,down_proj
llama,23,995.4202480316162,0.0020443833604150883,0.46701966457964195,1.098437613179899,0.027463905453514702,down_proj
llama,24,1005.1461601257324,0.0020570645526963834,0.47056701866970946,1.0880435871880187,0.02866797531891765,down_proj
llama,25,976.0002841949463,0.002057267695057149,0.4689358849868653,1.0416516900143005,0.027197972156854332,down_proj
llama,26,1007.3407325744629,0.0020536062668780894,0.46572413714132255,1.0459911807613393,0.027563552435941763,down_proj
llama,27,1002.206859588623,0.0020482978042291136,0.47503717029461767,1.0453422377410666,0.028007380348844823,down_proj
