layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.9676,0.96043,0.25432,
2,0.92794,0.9349,0.36353,
3,0.87972,0.90021,0.49032,
4,0.85607,0.86115,0.5243,
5,0.85408,0.85754,0.51473,
6,0.8495,0.87717,0.51818,
7,0.8439,0.88187,0.52804,
8,0.83709,0.87901,0.53946,
9,0.82788,0.86969,0.55367,
10,0.82022,0.86324,0.56601,
11,0.81013,0.86113,0.58212,
12,0.79824,0.84366,0.60113,
13,0.81011,0.85501,0.57789,
14,0.81205,0.84941,0.57819,
15,0.81252,0.8441,0.57722,
16,0.81641,0.84343,0.57004,
17,0.82341,0.85218,0.55591,
18,0.82403,0.85196,0.55515,
19,0.82692,0.86006,0.55002,
20,0.81963,0.85552,0.56211,
21,0.81275,0.85093,0.57486,
22,0.80289,0.84838,0.5875,
23,0.79355,0.84415,0.59991,
24,0.78544,0.84369,0.60761,
25,0.77618,0.84786,0.62008,
26,0.7658,0.8415,0.63174,
27,0.75078,0.83843,0.64987,
28,0.7465,0.83003,0.65588,
29,0.73963,0.8254,0.66675,
30,0.72814,0.81488,0.68135,
31,0.71282,0.79118,0.7095,
32,0.67942,0.75838,0.7641,0.6279
