tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
gsm_f_l_gwtn,,,,,,,,0.5481,runs/scores_gsm8k.csv
gsm_f_l_none,,,,,,,,0.0083,runs/scores_gsm8k.csv
gsm_f_l_rtn01down,,,,,,,,0.6315,runs/scores_gsm8k.csv
gsm_f_q14_damp5,,,,,,,,0.8795,runs/scores_gsm8k.csv
gsm_f_q14_gptq4,,,,,,,,0.9325,runs/scores_gsm8k.csv
gsm_f_q14_gwtn,,,,,,,,0.8772,runs/scores_gsm8k.csv
gsm_f_q14_l4down,,,,,,,,0.8886,runs/scores_gsm8k.csv
gsm_f_q14_none,,,,,,,,0.1729,runs/scores_gsm8k.csv
gsm_llama_awq,,,,,,,,0.4246,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_llama_damp5,,,,,,,,0.583,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_llama_fp16,,,,,,,,0.8431,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_llama_none,,,,,,,,0.0015,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_llama_tacq,,,,,,,,0.6164,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_q14_awq,,,,,,,,0.8393,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_q14_damp5,,,,,,,,0.8923,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_q14_fp16,,,,,,,,0.9257,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_q14_none,,,,,,,,0.1289,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_q14_tacq,,,,,,,,0.8939,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_qwen_fp16,,,,,,,,0.9007,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_qwen_gptq3,,,,,,,,0.7953,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_qwen_tacq,,,,,,,,0.8385,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gsm_qwen_v2none,,,,,,,,0.7779,runs_archive/scores\scores_gsm8k_archive_2026-09-10.csv
gt_f3_gwtn,0.6287,0.5582,0.6523,0.6063,0.6978,,,,runs\scores_gt_f3_gwtn.csv
gt_f3_gwtn_pile,0.6886,0.6266,0.7122,0.6636,0.7518,,,,runs\scores_gt_f3_gwtn_pile.csv
gt_g29_gwtn,0.6991,0.6433,0.7374,0.6617,0.7542,,,,runs\scores_gt_g29_gwtn.csv
gt_granite_gwtn,0.5745,0.4972,0.6091,0.5416,0.6499,,,,runs\scores_gt_granite_gwtn.csv
gt_hermes3_gwtn,0.3977,0.3216,0.44,0.353,0.476,,,,runs\scores_gt_hermes3_gwtn.csv
gt_hermes3_gwtn_pile,0.4241,0.3457,0.4712,0.3771,0.5024,,,,runs\scores_gt_hermes3_gwtn_pile.csv
gt_l32_gwtn,0.5694,0.4843,0.6043,0.5379,0.6511,,,,runs\scores_gt_l32_gwtn.csv
gt_l3_gwtn,0.5753,0.4732,0.5791,0.5749,0.6739,,,,runs\scores_gt_l3_gwtn.csv
gt_m7_gwtn,0.4052,0.3105,0.4424,0.3678,0.5,,,,runs\scores_gt_m7_gwtn.csv
gt_ministral_gwtn,0.4778,0.4011,0.5168,0.4418,0.5516,,,,runs\scores_gt_ministral_gwtn.csv
gt_nemo_gwtn_pile,0.5097,0.427,0.5432,0.4787,0.5899,,,,runs\scores_gt_nemo_gwtn_pile.csv
gt_q32_gwtn,0.7727,0.719,0.7938,0.7542,0.8237,,,,runs\scores_gt_q32_gwtn.csv
gt_q3_gwtn,0.4104,0.3346,0.4448,0.3752,0.4868,,,,runs\scores_gt_q3_gwtn.csv
gt_q7_gwtn,0.6545,0.5896,0.6823,0.6266,0.7194,,,,runs\scores_gt_q7_gwtn.csv
gt_q7_gwtn_pile,0.7016,0.6433,0.7302,0.6728,0.7602,,,,runs\scores_gt_q7_gwtn_pile.csv
gt_qwen3_14b_gwtn,0.5071,0.3919,0.542,0.4806,0.6139,,,,runs\scores_gt_qwen3_14b_gwtn.csv
gt_qwen3_8b_gwtn,0.376,0.2976,0.4353,0.3179,0.4532,,,,runs\scores_gt_qwen3_8b_gwtn.csv
gt_sm_gwtn,0.2701,0.1996,0.3141,0.2237,0.3429,,,,runs\scores_gt_sm_gwtn.csv
gt_sm_gwtn_pile,0.2841,0.2033,0.3321,0.2366,0.3645,,,,runs\scores_gt_sm_gwtn_pile.csv
gt_tulu3_gwtn,0.6459,0.5693,0.6763,0.6211,0.717,,,,runs\scores_gt_tulu3_gwtn.csv
gt_tulu3_gwtn_pile,0.6862,0.6174,0.7218,0.6562,0.7494,,,,runs\scores_gt_tulu3_gwtn_pile.csv
h_hermes3_damp0p01,0.3699,0.2699,0.4185,0.3235,0.4676,,,,runs\scores_h_hermes3_damp0p01.csv
h_hermes3_gm1,0.2009,0.1201,0.2434,0.1534,0.2866,,,,runs\scores_h_hermes3_gm1.csv
h_hermes3_rtn_gm1,0.1495,0.085,0.1942,0.1017,0.217,,,,runs\scores_h_hermes3_rtn_gm1.csv
h_m7_damp0p01,0.4187,0.3198,0.4568,0.3863,0.512,,,,runs\scores_h_m7_damp0p01.csv
h_m7_gm1,0.2952,0.2144,0.3465,0.2458,0.3741,,,,runs\scores_h_m7_gm1.csv
h_m7_rtn_gm1,0.182,0.1128,0.2434,0.1201,0.2518,,,,runs\scores_h_m7_rtn_gm1.csv
h_ministral_damp0p01,0.5199,0.4455,0.5576,0.4806,0.5959,,,,runs\scores_h_ministral_damp0p01.csv
h_ministral_gm1,0.3765,0.2902,0.4376,0.3142,0.464,,,,runs\scores_h_ministral_gm1.csv
h_ministral_rtn_gm1,0.3307,0.2532,0.3669,0.2902,0.4125,,,,runs\scores_h_ministral_rtn_gm1.csv
h_nemo_damp0p01,0.3782,0.2939,0.4221,0.3327,0.464,,,,runs\scores_h_nemo_damp0p01.csv
h_nemo_gm1,0.2381,0.1682,0.2698,0.2015,0.3129,,,,runs\scores_h_nemo_gm1.csv
h_nemo_rtn,0.2853,0.2052,0.3261,0.244,0.3657,,,,runs\scores_h_nemo_rtn.csv
h_nemo_rtn_gm1,0.1816,0.1146,0.223,0.1368,0.2518,,,,runs\scores_h_nemo_rtn_gm1.csv
h_q32_damp0p01,0.7646,0.7079,0.7878,0.7449,0.8177,,,,runs\scores_h_q32_damp0p01.csv
h_q32_gm1,0.5834,0.488,0.6055,0.5675,0.6727,,,,runs\scores_h_q32_gm1.csv
h_q32_rtn,0.774,0.719,0.8034,0.7486,0.8249,,,,runs\scores_h_q32_rtn.csv
h_q32_rtn_gm1,0.1751,0.1109,0.2266,0.122,0.241,,,,runs\scores_h_q32_rtn_gm1.csv
h_qwen3_14b_damp0p01,0.4845,0.39,0.5276,0.4473,0.5731,,,,runs\scores_h_qwen3_14b_damp0p01.csv
h_qwen3_14b_gm1,0.3016,0.2163,0.3369,0.2625,0.3909,,,,runs\scores_h_qwen3_14b_gm1.csv
h_qwen3_14b_rtn_gm1,0.1622,0.1091,0.199,0.1201,0.2206,,,,runs\scores_h_qwen3_14b_rtn_gm1.csv
held_falcon3_10b_gwtn,0.6729,0.6044,0.7002,0.6506,0.7362,,,,runs\scores_held_falcon3_10b_gwtn.csv
held_hermes2pro_l3_8b_gwtn,0.4096,0.3161,0.4508,0.3715,0.5,,,,runs\scores_held_hermes2pro_l3_8b_gwtn.csv
held_mistral_7b_v01_gwtn,0.4367,0.3697,0.47,0.3974,0.5096,,,,runs\scores_held_mistral_7b_v01_gwtn.csv
held_qwen25_0p5b_gwtn,0.1858,0.1238,0.2218,0.1423,0.2554,,,,runs\scores_held_qwen25_0p5b_gwtn.csv
held_qwen25_1p5b_gwtn,0.278,0.1996,0.3333,0.2181,0.3609,,,,runs\scores_held_qwen25_1p5b_gwtn.csv
held_qwen2_7b_gwtn,0.5024,0.4288,0.542,0.4621,0.5767,,,,runs\scores_held_qwen2_7b_gwtn.csv
held_qwen3_4b_gwtn,0.3458,0.2717,0.4005,0.2902,0.4209,,,,runs\scores_held_qwen3_4b_gwtn.csv
held_r1_llama_8b_gwtn,0.3684,0.2865,0.4221,0.3142,0.4508,,,,runs\scores_held_r1_llama_8b_gwtn.csv
held_r1_qwen_14b_gwtn,0.3925,0.3124,0.4556,0.3272,0.4748,,,,runs\scores_held_r1_qwen_14b_gwtn.csv
held_smollm3_3b_gwtn,0.3761,0.2717,0.4149,0.342,0.476,,,,runs\scores_held_smollm3_3b_gwtn.csv
inj_f3_b1,0.7249,0.6673,0.753,0.695,0.7842,,,,runs\scores_inj_f3_b1.csv
inj_f3_b2,0.6831,0.6229,0.7098,0.6562,0.7434,,,,runs\scores_inj_f3_b2.csv
inj_f3_b4,0.6581,0.5933,0.6847,0.6303,0.7242,,,,runs\scores_inj_f3_b4.csv
inj_f3_b8,0.6843,0.6303,0.7146,0.6525,0.7398,,,,runs\scores_inj_f3_b8.csv
inj_g29_b1,0.7868,0.7394,0.8141,0.7616,0.8321,,,,runs\scores_inj_g29_b1.csv
inj_g29_b2,0.6933,0.6359,0.7266,0.6636,0.747,,,,runs\scores_inj_g29_b2.csv
inj_g29_b4,0.6941,0.6359,0.7302,0.6599,0.7506,,,,runs\scores_inj_g29_b4.csv
inj_g29_b8,0.6993,0.6433,0.7338,0.6673,0.753,,,,runs\scores_inj_g29_b8.csv
inj_hermes3_b1,0.5988,0.5268,0.6367,0.5601,0.6715,,,,runs\scores_inj_hermes3_b1.csv
inj_hermes3_b2,0.6103,0.536,0.6439,0.5804,0.6811,,,,runs\scores_inj_hermes3_b2.csv
inj_hermes3_b4,0.5715,0.5046,0.6043,0.5342,0.6427,,,,runs\scores_inj_hermes3_b4.csv
inj_hermes3_b8,0.4322,0.3567,0.4724,0.39,0.5096,,,,runs\scores_inj_hermes3_b8.csv
inj_l_b1,0.7774,0.7098,0.8022,0.7597,0.8381,,,,runs\scores_inj_l_b1.csv
inj_l_b2,0.797,0.7338,0.8141,0.7874,0.8525,,,,runs\scores_inj_l_b2.csv
inj_l_b4,0.7705,0.7116,0.795,0.7505,0.8249,,,,runs\scores_inj_l_b4.csv
inj_l_b8,0.6352,0.5601,0.6751,0.597,0.7086,,,,runs\scores_inj_l_b8.csv
inj_l_c4win_b2,0.6417,0.5564,0.6739,0.6137,0.723,,,,runs\scores_inj_l_c4win_b2.csv
inj_l_cure_b2,0.6255,0.549,0.6535,0.597,0.7026,,,,runs\scores_inj_l_cure_b2.csv
inj_l_cure_b4,0.6147,0.536,0.6439,0.586,0.693,,,,runs\scores_inj_l_cure_b4.csv
inj_l_cure_b8,0.4069,0.3235,0.452,0.3604,0.4916,,,,runs\scores_inj_l_cure_b8.csv
inj_l_rtn_b2,0.5576,0.4843,0.5923,0.5231,0.6307,,,,runs\scores_inj_l_rtn_b2.csv
inj_l_rtn_b4,0.4826,0.3993,0.524,0.4362,0.5707,,,,runs\scores_inj_l_rtn_b4.csv
inj_m7_b1,0.5555,0.4824,0.5923,0.5176,0.6295,,,,runs\scores_inj_m7_b1.csv
inj_m7_b2,0.5413,0.464,0.5803,0.4972,0.6235,,,,runs\scores_inj_m7_b2.csv
inj_m7_b4,0.519,0.4529,0.554,0.4806,0.5887,,,,runs\scores_inj_m7_b4.csv
inj_m7_b8,0.3559,0.2865,0.4041,0.305,0.4281,,,,runs\scores_inj_m7_b8.csv
inj_nemo_b1,0.6452,0.5693,0.6715,0.6229,0.717,,,,runs\scores_inj_nemo_b1.csv
inj_nemo_b2,0.6149,0.5342,0.6439,0.5896,0.6918,,,,runs\scores_inj_nemo_b2.csv
inj_nemo_b4,0.5186,0.4418,0.5612,0.4732,0.5983,,,,runs\scores_inj_nemo_b4.csv
inj_nemo_b8,0.5121,0.427,0.5444,0.4824,0.5947,,,,runs\scores_inj_nemo_b8.csv
inj_q14_b1,0.8226,0.7874,0.8441,0.8004,0.8585,,,,runs\scores_inj_q14_b1.csv
inj_q14_b2,0.8047,0.7597,0.8201,0.7911,0.8477,,,,runs\scores_inj_q14_b2.csv
inj_q14_b4,0.8208,0.7819,0.8381,0.8059,0.8573,,,,runs\scores_inj_q14_b4.csv
inj_q14_b8,0.8057,0.7652,0.8309,0.78,0.8465,,,,runs\scores_inj_q14_b8.csv
inj_q14_cure_b4,0.7459,0.6876,0.7638,0.7301,0.8022,,,,runs\scores_inj_q14_cure_b4.csv
inj_q14_rtn_b4,0.6692,0.61,0.7038,0.6377,0.7254,,,,runs\scores_inj_q14_rtn_b4.csv
inj_q7_b1,0.7166,0.658,0.735,0.695,0.7782,,,,runs\scores_inj_q7_b1.csv
inj_q7_b2,0.7594,0.7061,0.7866,0.7357,0.8094,,,,runs\scores_inj_q7_b2.csv
inj_q7_b4,0.7551,0.7024,0.7878,0.7246,0.8058,,,,runs\scores_inj_q7_b4.csv
inj_q7_b8,0.7588,0.7043,0.7902,0.7301,0.8106,,,,runs\scores_inj_q7_b8.csv
inj_qwen3_14b_b1,0.425,0.3475,0.4928,0.3586,0.5012,,,,runs\scores_inj_qwen3_14b_b1.csv
inj_qwen3_14b_b2,0.4276,0.3494,0.4904,0.366,0.5048,,,,runs\scores_inj_qwen3_14b_b2.csv
inj_qwen3_14b_b4,0.4305,0.353,0.488,0.3715,0.5096,,,,runs\scores_inj_qwen3_14b_b4.csv
inj_qwen3_14b_b8,0.4282,0.3457,0.4904,0.366,0.5108,,,,runs\scores_inj_qwen3_14b_b8.csv
inj_tulu3_b1,0.8175,0.7671,0.8417,0.7967,0.8645,,,,runs\scores_inj_tulu3_b1.csv
inj_tulu3_b2,0.8242,0.78,0.8465,0.8022,0.8681,,,,runs\scores_inj_tulu3_b2.csv
inj_tulu3_b4,0.8028,0.7505,0.8249,0.7819,0.8537,,,,runs\scores_inj_tulu3_b4.csv
inj_tulu3_b8,0.7228,0.6617,0.759,0.6876,0.783,,,,runs\scores_inj_tulu3_b8.csv
m_hermes3_ar3,0.4533,0.3771,0.4928,0.4159,0.5276,,,,runs\scores_m_hermes3_ar3.csv
m_l4_ar,0.7477,0.6895,0.7734,0.7246,0.8034,,,,runs\scores_m_l4_ar.csv
m_l4_arb,0.7572,0.6932,0.7842,0.7338,0.8177,,,,runs\scores_m_l4_arb.csv
m_l4_hqq,0.7835,0.7283,0.7986,0.7726,0.8345,,,,runs\scores_m_l4_hqq.csv
m_l_ar3,0.1641,0.1017,0.2146,0.1109,0.229,,,,runs\scores_m_l_ar3.csv
m_l_ar3b,0.4596,0.3771,0.5,0.4159,0.5456,,,,runs\scores_m_l_ar3b.csv
m_l_ar3c4win,0.722,0.6543,0.7446,0.7024,0.7866,,,,runs\scores_m_l_ar3c4win.csv
m_l_ar3pile,0.7157,0.647,0.7458,0.6895,0.7806,,,,runs\scores_m_l_ar3pile.csv
m_l_hqq3,0.5994,0.5194,0.6271,0.5749,0.6763,,,,runs\scores_m_l_hqq3.csv
m_l_spqr1,0.6783,0.6007,0.7074,0.6543,0.7506,,,,runs\scores_m_l_spqr1.csv
m_nemo_ar3,0.4714,0.3863,0.5108,0.4344,0.554,,,,runs\scores_m_nemo_ar3.csv
m_q14_ar3,0.7677,0.7172,0.7854,0.7542,0.8141,,,,runs\scores_m_q14_ar3.csv
m_q14_ar3b,0.1806,0.1201,0.2374,0.1238,0.241,,,,runs\scores_m_q14_ar3b.csv
m_q14_ar3c4win,0.7871,0.7449,0.8058,0.7726,0.8249,,,,runs\scores_m_q14_ar3c4win.csv
m_q14_ar3pile,0.7926,0.7505,0.8141,0.7726,0.8333,,,,runs\scores_m_q14_ar3pile.csv
m_q14_hqq3,0.7494,0.6969,0.7746,0.7264,0.7998,,,,runs\scores_m_q14_hqq3.csv
m_q14_spqr1,0.788,0.7412,0.8022,0.7763,0.8321,,,,runs\scores_m_q14_spqr1.csv
m_q7_ar3,0.7428,0.6876,0.7578,0.7283,0.7974,,,,runs\scores_m_q7_ar3.csv
m_qwen3_14b_ar3,0.4725,0.3826,0.5336,0.414,0.56,,,,runs\scores_m_qwen3_14b_ar3.csv
mlp_25pct,0.7139,0.6617,0.7518,0.6747,0.7674,,,,runs_archive/scores\scores_mlp_25pct.csv
mlp_2pct,0.6891,0.6266,0.7194,0.6599,0.7506,,,,runs_archive/scores\scores_mlp_2pct.csv
mlp_5pct,0.7062,0.6433,0.7254,0.6876,0.7686,,,,runs_archive/scores\scores_mlp_5pct.csv
mlp_b_s0,0.6986,0.6396,0.7194,0.6802,0.7554,,,,runs_archive/scores\scores_mlp_b_s0.csv
mlp_b_s1,0.6869,0.6266,0.7146,0.658,0.7482,,,,runs_archive/scores\scores_mlp_b_s1.csv
mlp_b_s2,0.6936,0.6377,0.7194,0.6691,0.7482,,,,runs_archive/scores\scores_mlp_b_s2.csv
mlp_match_attn,0.7009,0.6451,0.7242,0.6765,0.7578,,,,runs_archive/scores\scores_mlp_match_attn.csv
mlp_match_attn_s1,0.6898,0.634,0.7146,0.6636,0.747,,,,runs_archive/scores\scores_mlp_match_attn_s1.csv
ph_crit_llama,0.1621,0.0906,0.2026,0.1201,0.235,,,,runs_archive/scores\scores_ph_crit_llama.csv
ph_scatter_s0,0.6628,0.597,0.6954,0.6322,0.7266,,,,runs_archive/scores\scores_ph_scatter_s0.csv
ph_scatter_s1,0.6699,0.6155,0.7038,0.6359,0.7242,,,,runs_archive/scores\scores_ph_scatter_s1.csv
prot32_o,0.6914,0.6303,0.7218,0.6617,0.7518,,,,runs_archive/scores\scores_prot32_o.csv
prot32_qkv,0.6767,0.6174,0.7074,0.647,0.735,,,,runs_archive/scores\scores_prot32_qkv.csv
prot_layer01,0.693,0.6322,0.7194,0.6673,0.753,,,,runs_archive/scores\scores_prot_layer01.csv
prot_noop,0.6835,0.6229,0.711,0.658,0.7422,,,,runs_archive/scores\scores_prot_noop.csv
prot_rand32_s0,0.6946,0.6303,0.7278,0.6636,0.7566,,,,runs_archive/scores\scores_prot_rand32_s0.csv
prot_rand32_s1,0.687,0.6248,0.717,0.658,0.7482,,,,runs_archive/scores\scores_prot_rand32_s1.csv
prot_rand32_s2,0.7042,0.6433,0.7314,0.6821,0.7602,,,,runs_archive/scores\scores_prot_rand32_s2.csv
prot_top16_dev3,0.6922,0.6285,0.7194,0.6654,0.7554,,,,runs_archive/scores\scores_prot_top16_dev3.csv
prot_top32_act,0.6931,0.6322,0.7218,0.6654,0.753,,,,runs_archive/scores\scores_prot_top32_act.csv
prot_top32_dev3,0.701,0.6433,0.729,0.6728,0.759,,,,runs_archive/scores\scores_prot_top32_dev3.csv
prot_top64_dev3,0.6887,0.6285,0.717,0.6636,0.7458,,,,runs_archive/scores\scores_prot_top64_dev3.csv
qbase_fp16,0.7652,0.7153,0.7926,0.7412,0.8118,,,,runs_archive/scores\scores_qbase_fp16.csv
qbase_gptq2,0.1208,0.0702,0.1523,0.0869,0.1739,,,,runs_archive/scores\scores_qbase_gptq2.csv
qbase_gptq3,0.6832,0.6229,0.711,0.658,0.741,,,,runs_archive/scores\scores_qbase_gptq3.csv
qbase_gptq4,0.7575,0.7079,0.7842,0.7357,0.8022,,,,runs_archive/scores\scores_qbase_gptq4.csv
qbase_gptq8,0.7695,0.7172,0.795,0.7468,0.8189,,,,runs_archive/scores\scores_qbase_gptq8.csv
qbase_llama_fp16,0.7683,0.7061,0.795,0.7449,0.8273,,,,runs_archive/scores\scores_qbase_llama_fp16.csv
qbase_llama_fp16_1bos,0.8076,0.7486,0.8237,0.7985,0.8597,,,,runs_archive/scores\scores_qbase_llama_fp16_1bos.csv
qbase_llama_gptq3,0.1267,0.0813,0.1619,0.0887,0.1751,,,,runs_archive/scores\scores_qbase_llama_gptq3.csv
qbase_llama_gptq4,0.7759,0.719,0.8046,0.7505,0.8297,,,,runs_archive/scores\scores_qbase_llama_gptq4.csv
qbase_mistral24_fp16,0.7574,0.6987,0.7794,0.7375,0.8141,,,,runs_archive/scores\scores_qbase_mistral24_fp16.csv
qbase_mistral_fp16,0.5524,0.464,0.5875,0.5213,0.6367,,,,runs_archive/scores\scores_qbase_mistral_fp16.csv
qbase_qwen14_fp16,0.8203,0.7763,0.8393,0.8022,0.8633,,,,runs_archive/scores\scores_qbase_qwen14_fp16.csv
qbase_qwen32_fp16,0.8384,0.7967,0.8585,0.8207,0.8777,,,,runs_archive/scores\scores_qbase_qwen32_fp16.csv
qcal_g64_3,0.7193,0.6562,0.7458,0.6969,0.7782,,,,runs_archive/scores\scores_qcal_g64_3.csv
qcal_instruct3,0.6633,0.5933,0.705,0.6248,0.7302,,,,runs_archive/scores\scores_qcal_instruct3.csv
rand16_s0,0.7484,0.6869,0.7815,0.7172,0.8079,,,,runs_archive/scores\scores_rand16_s0.csv
rand32_qkv_s0,0.6954,0.6322,0.7254,0.6673,0.7566,,,,runs_archive/scores\scores_rand32_qkv_s0.csv
rand32_s0,0.7342,0.6667,0.7616,0.7071,0.8013,,,,runs_archive/scores\scores_rand32_s0.csv
rand32_s1,0.7502,0.7071,0.7682,0.7374,0.7881,,,,runs_archive/scores\scores_rand32_s1.csv
rand32_s2,0.735,0.6768,0.7682,0.7071,0.7881,,,,runs_archive/scores\scores_rand32_s2.csv
rand64_s0,0.6842,0.6364,0.7086,0.6566,0.7351,,,,runs_archive/scores\scores_rand64_s0.csv
rotfp_llama,0.7848,0.7246,0.807,0.7671,0.8405,,,,runs_archive/scores\scores_rotfp_llama.csv
rtn3l_none,0.565,0.4917,0.6031,0.525,0.6403,,,,runs_archive/scores\scores_rtn3l_none.csv
rtn3l_tacq1e5,0.6007,0.5213,0.6343,0.5712,0.6763,,,,runs_archive/scores\scores_rtn3l_tacq1e5.csv
rtn3m_gm1,0.182,0.1128,0.2434,0.1201,0.2518,,,,runs_archive/scores\scores_rtn3m_gm1.csv
rtn3m_none,0.4199,0.3494,0.4568,0.3771,0.4964,,,,runs_archive/scores\scores_rtn3m_none.csv
rtn3q14_none,0.6974,0.6433,0.7278,0.6654,0.753,,,,runs_archive/scores\scores_rtn3q14_none.csv
rtn3q14_tacq1e6,0.7195,0.6543,0.7386,0.7079,0.777,,,,runs_archive/scores\scores_rtn3q14_tacq1e6.csv
rtn3q3_none,0.1296,0.0869,0.1715,0.0887,0.1715,,,,runs_archive/scores\scores_rtn3q3_none.csv
rtn3q_gm1,0.1757,0.122,0.2242,0.1275,0.229,,,,runs_archive/scores\scores_rtn3q_gm1.csv
rtn3q_none,0.4999,0.4159,0.5408,0.4603,0.5827,,,,runs_archive/scores\scores_rtn3q_none.csv
rtn3yi_none,0.3201,0.244,0.3585,0.2773,0.4005,,,,runs_archive/scores\scores_rtn3yi_none.csv
screen_base,0.7434,0.697,0.7815,0.7071,0.7881,,,,runs_archive/scores\scores_screen_base.csv
top16_dev3,0.7459,0.7071,0.7815,0.7071,0.7881,,,,runs_archive/scores\scores_top16_dev3.csv
top32_act,0.6732,0.6162,0.7152,0.6263,0.7351,,,,runs_archive/scores\scores_top32_act.csv
top32_dev3,0.7117,0.6667,0.7483,0.6768,0.755,,,,runs_archive/scores\scores_top32_dev3.csv
top64_dev3,0.6666,0.596,0.6887,0.6465,0.7351,,,,runs_archive/scores\scores_top64_dev3.csv
tp_l_c4_c4winles,0.136,0.0739,0.1763,0.0924,0.2014,,,,runs\scores_tp_l_c4_c4winles.csv
tp_l_c4win_les,0.5671,0.4787,0.6007,0.5379,0.6511,,,,runs\scores_tp_l_c4win_les.csv
tp_l_fp16_les,0.7539,0.6932,0.7842,0.7264,0.8118,,,,runs\scores_tp_l_fp16_les.csv
tp_l_rtn_les,0.5196,0.4436,0.5576,0.4787,0.5983,,,,runs\scores_tp_l_rtn_les.csv
tp_q14_fp16_les,0.6495,0.5786,0.6763,0.6285,0.7146,,,,runs\scores_tp_q14_fp16_les.csv
tpbg_l_L2,0.1286,0.0758,0.1715,0.085,0.1823,,,,runs\scores_tpbg_l_L2.csv
tpbg_l_L2_3,0.1279,0.0813,0.1631,0.0887,0.1787,,,,runs\scores_tpbg_l_L2_3.csv
tpbg_l_L2_4,0.1336,0.085,0.1799,0.085,0.1847,,,,runs\scores_tpbg_l_L2_4.csv
tpbg_l_L2attn,0.1355,0.0906,0.1787,0.0906,0.1823,,,,runs\scores_tpbg_l_L2attn.csv
tpbg_l_L2mlp,0.1518,0.0887,0.193,0.1035,0.2218,,,,runs\scores_tpbg_l_L2mlp.csv
tpbg_l_L3,0.1521,0.098,0.1966,0.1017,0.2122,,,,runs\scores_tpbg_l_L3.csv
tpbg_l_rev_L2_3,0.6322,0.5601,0.6643,0.6007,0.7038,,,,runs\scores_tpbg_l_rev_L2_3.csv
u4_f3_gptq4,0.746,0.6858,0.7746,0.719,0.8046,,,,runs\scores_u4_f3_gptq4.csv
u4_f3_rtn4,0.7637,0.7116,0.7914,0.7375,0.8141,,,,runs\scores_u4_f3_rtn4.csv
u4_g29_gptq4,0.755,0.7024,0.789,0.7227,0.8058,,,,runs\scores_u4_g29_gptq4.csv
u4_g29_rtn4,0.7567,0.7116,0.7854,0.7264,0.8034,,,,runs\scores_u4_g29_rtn4.csv
u4_granite_gptq4,0.7026,0.6451,0.729,0.6784,0.7578,,,,runs\scores_u4_granite_gptq4.csv
u4_granite_rtn4,0.6648,0.5989,0.6978,0.6285,0.7338,,,,runs\scores_u4_granite_rtn4.csv
u4_hermes3_gptq4,0.5544,0.4861,0.5887,0.5194,0.6235,,,,runs\scores_u4_hermes3_gptq4.csv
u4_hermes3_gwtn,0.5931,0.5139,0.6163,0.573,0.6691,,,,runs\scores_u4_hermes3_gwtn.csv
u4_hermes3_rtn4,0.5769,0.5083,0.6091,0.5416,0.6487,,,,runs\scores_u4_hermes3_rtn4.csv
u4_l32_gptq4,0.7074,0.6433,0.7362,0.6802,0.7698,,,,runs\scores_u4_l32_gptq4.csv
u4_l32_rtn4,0.7157,0.6488,0.7422,0.695,0.777,,,,runs\scores_u4_l32_rtn4.csv
u4_l3_gptq4,0.7262,0.6488,0.7494,0.7079,0.7986,,,,runs\scores_u4_l3_gptq4.csv
u4_l3_rtn4,0.7326,0.658,0.747,0.7246,0.801,,,,runs\scores_u4_l3_rtn4.csv
u4_l_rtn4,0.7603,0.7061,0.7866,0.7357,0.8129,,,,runs\scores_u4_l_rtn4.csv
u4_m7_gptq4,0.4503,0.3623,0.494,0.4067,0.5384,,,,runs\scores_u4_m7_gptq4.csv
u4_m7_gwtn,0.5336,0.4547,0.5767,0.488,0.6151,,,,runs\scores_u4_m7_gwtn.csv
u4_m7_rtn4,0.5453,0.4658,0.5791,0.5139,0.6223,,,,runs\scores_u4_m7_rtn4.csv
u4_ministral_gptq4,0.5824,0.5102,0.6187,0.5508,0.6499,,,,runs\scores_u4_ministral_gptq4.csv
u4_ministral_rtn4,0.5733,0.5028,0.6055,0.5434,0.6415,,,,runs\scores_u4_ministral_rtn4.csv
u4_nemo_gptq4,0.6022,0.5323,0.6343,0.5693,0.6727,,,,runs\scores_u4_nemo_gptq4.csv
u4_nemo_rtn4,0.6189,0.5471,0.6475,0.5915,0.6894,,,,runs\scores_u4_nemo_rtn4.csv
u4_q14_rtn4,0.8033,0.7597,0.8225,0.7856,0.8453,,,,runs\scores_u4_q14_rtn4.csv
u4_q32_gptq4,0.8147,0.7689,0.8357,0.7967,0.8573,,,,runs\scores_u4_q32_gptq4.csv
u4_q32_gwtn,0.8245,0.7837,0.8489,0.8022,0.8633,,,,runs\scores_u4_q32_gwtn.csv
u4_q32_rtn4,0.8456,0.8041,0.8645,0.8299,0.8837,,,,runs\scores_u4_q32_rtn4.csv
u4_q3_gptq4,0.6105,0.5416,0.6427,0.5804,0.6775,,,,runs\scores_u4_q3_gptq4.csv
