tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
cens_g2_9b_rtn3,0.7109,0.658,0.741,0.6821,0.7626,,,,runs_archive/scores\scores_cens_g2_9b_rtn3.csv
cens_l32_1b_fp16,0.5263,0.4455,0.5731,0.4824,0.6043,,,,runs_archive/scores\scores_cens_l32_1b_fp16.csv
cens_l32_1b_gptq3,0.3086,0.2311,0.3597,0.2551,0.3885,,,,runs_archive/scores\scores_cens_l32_1b_gptq3.csv
cens_l32_1b_rtn3,0.2587,0.1793,0.2914,0.22,0.3441,,,,runs_archive/scores\scores_cens_l32_1b_rtn3.csv
cens_l32_3b_fp16,0.7497,0.6802,0.7782,0.7264,0.8141,,,,runs_archive/scores\scores_cens_l32_3b_fp16.csv
cens_l32_3b_gptq3,0.5765,0.4824,0.6151,0.5453,0.6631,,,,runs_archive/scores\scores_cens_l32_3b_gptq3.csv
cens_l3_8b_fp16,0.7579,0.6876,0.7722,0.7505,0.8213,,,,runs_archive/scores\scores_cens_l3_8b_fp16.csv
cens_l3_8b_gptq3,0.611,0.5102,0.6319,0.597,0.705,,,,runs_archive/scores\scores_cens_l3_8b_gptq3.csv
cens_m7v02_fp16,0.5687,0.4935,0.6055,0.5342,0.6415,,,,runs_archive/scores\scores_cens_m7v02_fp16.csv
cens_m7v02_gptq3,0.4929,0.4011,0.5288,0.4603,0.5815,,,,runs_archive/scores\scores_cens_m7v02_gptq3.csv
cens_m7v02_rtn3,0.4404,0.3549,0.4736,0.403,0.53,,,,runs_archive/scores\scores_cens_m7v02_rtn3.csv
cens_nemo_12b_fp16,0.6513,0.573,0.6763,0.6303,0.7254,,,,runs_archive/scores\scores_cens_nemo_12b_fp16.csv
cens_nemo_12b_gptq3,0.4763,0.3937,0.5108,0.4418,0.5588,,,,runs_archive/scores\scores_cens_nemo_12b_gptq3.csv
cens_olmo_7b_fp16,0.7504,0.6932,0.7758,0.7283,0.8046,,,,runs_archive/scores\scores_cens_olmo_7b_fp16.csv
cens_olmo_7b_gptq3,0.6876,0.6174,0.7194,0.658,0.7554,,,,runs_archive/scores\scores_cens_olmo_7b_gptq3.csv
cens_q25_3b_fp16,0.658,0.5952,0.6859,0.634,0.717,,,,runs_archive/scores\scores_cens_q25_3b_fp16.csv
cens_q25_3b_gptq3,0.4106,0.3309,0.4532,0.3678,0.4904,,,,runs_archive/scores\scores_cens_q25_3b_gptq3.csv
cens_sm_1p7b_fp16,0.5434,0.4713,0.5851,0.5009,0.6163,,,,runs_archive/scores\scores_cens_sm_1p7b_fp16.csv
cens_sm_1p7b_gptq3,0.2045,0.1479,0.2506,0.1534,0.2662,,,,runs_archive/scores\scores_cens_sm_1p7b_gptq3.csv
cens_sm_1p7b_rtn3,0.1847,0.1183,0.2266,0.1386,0.2554,,,,runs_archive/scores\scores_cens_sm_1p7b_rtn3.csv
cens_yi_9b_fp16,0.5937,0.5009,0.6271,0.5656,0.6811,,,,runs_archive/scores\scores_cens_yi_9b_fp16.csv
cens_yi_9b_gptq3,0.4426,0.3586,0.4856,0.4011,0.5252,,,,runs_archive/scores\scores_cens_yi_9b_gptq3.csv
f_f3_c4win,0.6817,0.6174,0.711,0.6562,0.7422,,,,runs\scores_f_f3_c4win.csv
f_f3_gptq4,0.7535,0.6932,0.7794,0.732,0.8094,,,,runs\scores_f_f3_gptq4.csv
f_f3_gwtn,0.6791,0.6044,0.7038,0.6599,0.7482,,,,runs\scores_f_f3_gwtn.csv
f_f3_none,0.6721,0.61,0.7002,0.647,0.7314,,,,runs\scores_f_f3_none.csv
f_g29_c4win,0.7128,0.6562,0.7518,0.6747,0.7686,,,,runs\scores_f_g29_c4win.csv
f_g29_gptq4,0.7544,0.7006,0.7854,0.7246,0.807,,,,runs\scores_f_g29_gptq4.csv
f_g29_gwtn,0.6645,0.6007,0.705,0.6266,0.7254,,,,runs\scores_f_g29_gwtn.csv
f_g29_none,0.7116,0.6562,0.7506,0.6747,0.765,,,,runs\scores_f_g29_none.csv
f_granite_c4win,0.5918,0.5139,0.6259,0.5619,0.6655,,,,runs\scores_f_granite_c4win.csv
f_granite_gptq4,0.6858,0.6174,0.711,0.6617,0.753,,,,runs\scores_f_granite_gptq4.csv
f_granite_gwtn,0.542,0.464,0.5683,0.5194,0.6163,,,,runs\scores_f_granite_gwtn.csv
f_granite_none,0.5537,0.4566,0.5695,0.5434,0.6451,,,,runs\scores_f_granite_none.csv
f_hermes3_c4win,0.4074,0.3124,0.4484,0.3641,0.5048,,,,runs\scores_f_hermes3_c4win.csv
f_hermes3_gptq4,0.5304,0.464,0.5671,0.4898,0.6007,,,,runs\scores_f_hermes3_gptq4.csv
f_hermes3_gptq4_gwtn,0.5892,0.5157,0.6211,0.5582,0.6619,,,,runs\scores_f_hermes3_gptq4_gwtn.csv
f_hermes3_gwtn,0.415,0.3346,0.4592,0.3697,0.4964,,,,runs\scores_f_hermes3_gwtn.csv
f_hermes3_none,0.2758,0.1959,0.3189,0.2311,0.3573,,,,runs\scores_f_hermes3_none.csv
f_l32_c4win,0.5656,0.488,0.5995,0.5323,0.6427,,,,runs\scores_f_l32_c4win.csv
f_l32_gptq4,0.685,0.6155,0.7146,0.658,0.7518,,,,runs\scores_f_l32_gptq4.csv
f_l32_gwtn,0.5645,0.4769,0.5971,0.5379,0.6463,,,,runs\scores_f_l32_gwtn.csv
f_l32_none,0.5746,0.4861,0.6055,0.5508,0.6559,,,,runs\scores_f_l32_none.csv
f_l3_c4win,0.6438,0.5416,0.6499,0.6451,0.7386,,,,runs\scores_f_l3_c4win.csv
f_l3_gptq4,0.7201,0.6377,0.7374,0.7116,0.7938,,,,runs\scores_f_l3_gptq4.csv
f_l3_gwtn,0.5956,0.4898,0.6067,0.5915,0.6942,,,,runs\scores_f_l3_gwtn.csv
f_l3_none,0.6515,0.5582,0.6727,0.6377,0.7374,,,,runs\scores_f_l3_none.csv
f_l_awq,0.6228,0.5416,0.6511,0.6007,0.6978,,,,runs\scores_f_l_awq.csv
f_l_c4chat,0.6438,0.573,0.6751,0.6137,0.7134,,,,runs\scores_f_l_c4chat.csv
f_l_c4win,0.6446,0.5712,0.6739,0.6174,0.7158,,,,runs\scores_f_l_c4win.csv
f_l_c4win_gwtn,0.643,0.5693,0.6715,0.6155,0.7158,,,,runs\scores_f_l_c4win_gwtn.csv
f_l_damp0p2,0.1689,0.1128,0.2218,0.1146,0.2266,,,,runs\scores_f_l_damp0p2.csv
f_l_damp5,0.6615,0.5915,0.699,0.6266,0.729,0.5432,20.96,,runs\scores_f_l_damp5.csv
f_l_early,0.1384,0.0758,0.1918,0.0832,0.2026,,,,runs\scores_f_l_early.csv
