model,category,layer,head,attention
fp16,json_format,5,12,0.012477875
fp16,json_format,5,13,0.005710983
fp16,json_format,5,14,0.0008463383
fp16,json_format,5,15,0.0007334232
fp16,json_format,5,16,0.002782631
fp16,json_format,5,17,0.0014908791
fp16,json_format,5,18,0.00074818137
fp16,json_format,5,19,0.0025743246
fp16,json_format,5,20,0.0011804343
fp16,json_format,5,21,0.0021369935
fp16,json_format,5,22,0.00383749
fp16,json_format,5,23,0.01350708
fp16,json_format,5,24,0.011539459
fp16,json_format,5,25,0.002983904
fp16,json_format,5,26,0.003215599
fp16,json_format,5,27,0.0016744614
fp16,json_format,6,0,0.0056404113
fp16,json_format,6,1,0.004761505
fp16,json_format,6,2,0.008135224
fp16,json_format,6,3,0.009468841
fp16,json_format,6,4,0.004706955
fp16,json_format,6,5,0.0007735014
fp16,json_format,6,6,0.011740113
fp16,json_format,6,7,0.011286164
fp16,json_format,6,8,0.007456207
fp16,json_format,6,9,0.018198395
fp16,json_format,6,10,0.012461853
fp16,json_format,6,11,0.011898041
fp16,json_format,6,12,0.0032465935
fp16,json_format,6,13,0.0093307495
fp16,json_format,6,14,0.008600044
fp16,json_format,6,15,0.014994049
fp16,json_format,6,16,0.021295166
fp16,json_format,6,17,0.005449772
fp16,json_format,6,18,0.0029517175
fp16,json_format,6,19,0.0039456366
fp16,json_format,6,20,0.005509472
fp16,json_format,6,21,0.003873825
fp16,json_format,6,22,0.009868622
fp16,json_format,6,23,0.014852906
fp16,json_format,6,24,0.0063962936
fp16,json_format,6,25,0.005125046
fp16,json_format,6,26,0.004523468
fp16,json_format,6,27,0.002296734
fp16,json_format,7,0,0.0127861025
fp16,json_format,7,1,0.011165619
fp16,json_format,7,2,0.01570282
fp16,json_format,7,3,0.006786442
fp16,json_format,7,4,0.0058757784
fp16,json_format,7,5,0.01583252
fp16,json_format,7,6,0.0035078048
fp16,json_format,7,7,0.013214111
fp16,json_format,7,8,0.024659729
fp16,json_format,7,9,0.009242249
fp16,json_format,7,10,0.0050117495
fp16,json_format,7,11,0.0031676292
fp16,json_format,7,12,0.0045492174
fp16,json_format,7,13,0.017364502
fp16,json_format,7,14,0.012973785
fp16,json_format,7,15,0.0029985427
fp16,json_format,7,16,0.0068656923
fp16,json_format,7,17,0.008649063
fp16,json_format,7,18,0.016770935
fp16,json_format,7,19,0.002624321
fp16,json_format,7,20,0.014311219
fp16,json_format,7,21,0.011703873
fp16,json_format,7,22,0.016500091
fp16,json_format,7,23,0.0071294783
fp16,json_format,7,24,0.012921142
fp16,json_format,7,25,0.0030726432
fp16,json_format,7,26,0.011415482
fp16,json_format,7,27,0.010094452
fp16,json_format,8,0,0.022105407
fp16,json_format,8,1,0.008959961
fp16,json_format,8,2,0.026182557
fp16,json_format,8,3,0.009037209
fp16,json_format,8,4,0.015621185
