model,category,layer,head,attention
fp16,first_word,7,3,0.0
fp16,first_word,7,4,0.0
fp16,first_word,7,5,0.0
fp16,first_word,7,6,0.0
fp16,first_word,7,7,0.0
fp16,first_word,7,8,0.0
fp16,first_word,7,9,0.0
fp16,first_word,7,10,0.0
fp16,first_word,7,11,0.0
fp16,first_word,7,12,0.0
fp16,first_word,7,13,0.0
fp16,first_word,7,14,0.0
fp16,first_word,7,15,0.0
fp16,first_word,7,16,0.0
fp16,first_word,7,17,0.0
fp16,first_word,7,18,0.0
fp16,first_word,7,19,0.0
fp16,first_word,7,20,0.0
fp16,first_word,7,21,0.0
fp16,first_word,7,22,0.0
fp16,first_word,7,23,0.0
fp16,first_word,7,24,0.0
fp16,first_word,7,25,0.0
fp16,first_word,7,26,0.0
fp16,first_word,7,27,0.0
fp16,first_word,8,0,0.0
fp16,first_word,8,1,0.0
fp16,first_word,8,2,0.0
fp16,first_word,8,3,0.0
fp16,first_word,8,4,0.0
fp16,first_word,8,5,0.0
fp16,first_word,8,6,0.0
fp16,first_word,8,7,0.0
fp16,first_word,8,8,0.0
fp16,first_word,8,9,0.0
fp16,first_word,8,10,0.0
fp16,first_word,8,11,0.0
fp16,first_word,8,12,0.0
fp16,first_word,8,13,0.0
fp16,first_word,8,14,0.0
fp16,first_word,8,15,0.0
fp16,first_word,8,16,0.0
fp16,first_word,8,17,0.0
fp16,first_word,8,18,0.0
fp16,first_word,8,19,0.0
fp16,first_word,8,20,0.0
fp16,first_word,8,21,0.0
fp16,first_word,8,22,0.0
fp16,first_word,8,23,0.0
fp16,first_word,8,24,0.0
fp16,first_word,8,25,0.0
fp16,first_word,8,26,0.0
fp16,first_word,8,27,0.0
fp16,first_word,9,0,0.0
fp16,first_word,9,1,0.0
fp16,first_word,9,2,0.0
fp16,first_word,9,3,0.0
fp16,first_word,9,4,0.0
fp16,first_word,9,5,0.0
fp16,first_word,9,6,0.0
fp16,first_word,9,7,0.0
fp16,first_word,9,8,0.0
fp16,first_word,9,9,0.0
fp16,first_word,9,10,0.0
fp16,first_word,9,11,0.0
fp16,first_word,9,12,0.0
fp16,first_word,9,13,0.0
fp16,first_word,9,14,0.0
fp16,first_word,9,15,0.0
fp16,first_word,9,16,0.0
fp16,first_word,9,17,0.0
fp16,first_word,9,18,0.0
fp16,first_word,9,19,0.0
fp16,first_word,9,20,0.0
fp16,first_word,9,21,0.0
fp16,first_word,9,22,0.0
fp16,first_word,9,23,0.0
fp16,first_word,9,24,0.0
fp16,first_word,9,25,0.0
fp16,first_word,9,26,0.0
fp16,first_word,9,27,0.0
fp16,first_word,10,0,0.0
fp16,first_word,10,1,0.0
fp16,first_word,10,2,0.0
fp16,first_word,10,3,0.0
fp16,first_word,10,4,0.0
fp16,first_word,10,5,0.0
fp16,first_word,10,6,0.0
fp16,first_word,10,7,0.0
fp16,first_word,10,8,0.0
fp16,first_word,10,9,0.0
fp16,first_word,10,10,0.0
fp16,first_word,10,11,0.0
fp16,first_word,10,12,0.0
fp16,first_word,10,13,0.0
fp16,first_word,10,14,0.0
fp16,first_word,10,15,0.0
fp16,first_word,10,16,0.0
fp16,first_word,10,17,0.0
fp16,first_word,10,18,0.0
fp16,first_word,10,19,0.0
fp16,first_word,10,20,0.0
fp16,first_word,10,21,0.0
fp16,first_word,10,22,0.0
fp16,first_word,10,23,0.0
fp16,first_word,10,24,0.0
fp16,first_word,10,25,0.0
fp16,first_word,10,26,0.0
fp16,first_word,10,27,0.0
fp16,first_word,11,0,0.0
fp16,first_word,11,1,0.0
fp16,first_word,11,2,0.0
fp16,first_word,11,3,0.0
fp16,first_word,11,4,0.0
fp16,first_word,11,5,0.0
fp16,first_word,11,6,0.0
fp16,first_word,11,7,0.0
fp16,first_word,11,8,0.0
fp16,first_word,11,9,0.0
fp16,first_word,11,10,0.0
fp16,first_word,11,11,0.0
fp16,first_word,11,12,0.0
fp16,first_word,11,13,0.0
fp16,first_word,11,14,0.0
fp16,first_word,11,15,0.0
fp16,first_word,11,16,0.0
fp16,first_word,11,17,0.0
fp16,first_word,11,18,0.0
fp16,first_word,11,19,0.0
fp16,first_word,11,20,0.0
fp16,first_word,11,21,0.0
fp16,first_word,11,22,0.0
fp16,first_word,11,23,0.0
fp16,first_word,11,24,0.0
fp16,first_word,11,25,0.0
fp16,first_word,11,26,0.0
fp16,first_word,11,27,0.0
fp16,first_word,12,0,0.0
fp16,first_word,12,1,0.0
fp16,first_word,12,2,0.0
fp16,first_word,12,3,0.0
fp16,first_word,12,4,0.0
fp16,first_word,12,5,0.0
fp16,first_word,12,6,0.0
fp16,first_word,12,7,0.0
fp16,first_word,12,8,0.0
fp16,first_word,12,9,0.0
fp16,first_word,12,10,0.0
fp16,first_word,12,11,0.0
fp16,first_word,12,12,0.0
fp16,first_word,12,13,0.0
fp16,first_word,12,14,0.0
fp16,first_word,12,15,0.0
fp16,first_word,12,16,0.0
fp16,first_word,12,17,0.0
fp16,first_word,12,18,0.0
fp16,first_word,12,19,0.0
fp16,first_word,12,20,0.0
fp16,first_word,12,21,0.0
fp16,first_word,12,22,0.0
fp16,first_word,12,23,0.0
fp16,first_word,12,24,0.0
fp16,first_word,12,25,0.0
fp16,first_word,12,26,0.0
fp16,first_word,12,27,0.0
fp16,first_word,13,0,0.0
