model,category,layer,head,attention
gptq4,regex_or_format,5,2,0.01146698
gptq4,regex_or_format,5,3,0.007989883
gptq4,regex_or_format,5,4,0.0071339607
gptq4,regex_or_format,5,5,0.0032749176
gptq4,regex_or_format,5,6,0.0022481917
gptq4,regex_or_format,5,7,0.003043747
gptq4,regex_or_format,5,8,0.0036464215
gptq4,regex_or_format,5,9,0.006508446
gptq4,regex_or_format,5,10,0.0055322647
gptq4,regex_or_format,5,11,0.0011741638
gptq4,regex_or_format,5,12,0.0074142455
gptq4,regex_or_format,5,13,0.0037864684
gptq4,regex_or_format,5,14,0.0032479286
gptq4,regex_or_format,5,15,0.00076704024
gptq4,regex_or_format,5,16,0.0031940937
gptq4,regex_or_format,5,17,0.0013352394
gptq4,regex_or_format,5,18,0.00036536454
gptq4,regex_or_format,5,19,0.0014946938
gptq4,regex_or_format,5,20,0.00067791936
gptq4,regex_or_format,5,21,0.00095546246
gptq4,regex_or_format,5,22,0.003622055
gptq4,regex_or_format,5,23,0.005112457
gptq4,regex_or_format,5,24,0.003054905
gptq4,regex_or_format,5,25,0.0017525672
gptq4,regex_or_format,5,26,0.0018566132
gptq4,regex_or_format,5,27,0.023925018
gptq4,regex_or_format,6,0,0.0034324646
gptq4,regex_or_format,6,1,0.002712059
gptq4,regex_or_format,6,2,0.0050779344
gptq4,regex_or_format,6,3,0.004248619
gptq4,regex_or_format,6,4,0.0016410828
gptq4,regex_or_format,6,5,0.0006124377
gptq4,regex_or_format,6,6,0.008661842
gptq4,regex_or_format,6,7,0.011822129
gptq4,regex_or_format,6,8,0.01669159
gptq4,regex_or_format,6,9,0.014039611
gptq4,regex_or_format,6,10,0.009556579
gptq4,regex_or_format,6,11,0.0038560391
gptq4,regex_or_format,6,12,0.0023396492
gptq4,regex_or_format,6,13,0.0050790785
gptq4,regex_or_format,6,14,0.0044151307
gptq4,regex_or_format,6,15,0.010758972
gptq4,regex_or_format,6,16,0.008977127
gptq4,regex_or_format,6,17,0.0043117525
gptq4,regex_or_format,6,18,0.0016457081
gptq4,regex_or_format,6,19,0.0023547173
gptq4,regex_or_format,6,20,0.003502655
gptq4,regex_or_format,6,21,0.0056013106
gptq4,regex_or_format,6,22,0.009405899
gptq4,regex_or_format,6,23,0.0073345182
gptq4,regex_or_format,6,24,0.0038965226
gptq4,regex_or_format,6,25,0.0024279593
gptq4,regex_or_format,6,26,0.0018894195
gptq4,regex_or_format,6,27,0.005780029
gptq4,regex_or_format,7,0,0.0067087174
gptq4,regex_or_format,7,1,0.005756378
gptq4,regex_or_format,7,2,0.011675263
gptq4,regex_or_format,7,3,0.005143738
gptq4,regex_or_format,7,4,0.0032188415
gptq4,regex_or_format,7,5,0.005889511
gptq4,regex_or_format,7,6,0.0036294938
gptq4,regex_or_format,7,7,0.010507965
gptq4,regex_or_format,7,8,0.0070916177
gptq4,regex_or_format,7,9,0.014147187
gptq4,regex_or_format,7,10,0.0046976088
gptq4,regex_or_format,7,11,0.010440064
gptq4,regex_or_format,7,12,0.0052345274
gptq4,regex_or_format,7,13,0.010938835
gptq4,regex_or_format,7,14,0.007378769
gptq4,regex_or_format,7,15,0.0030791282
gptq4,regex_or_format,7,16,0.009545898
gptq4,regex_or_format,7,17,0.0073307035
gptq4,regex_or_format,7,18,0.008898544
