layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,19.59,24.98,22.81,0.8591,0.0069,0.0049,0.1311,0.8570
1,28.8,29.63,25.98,1.109,0.0076,0.0118,0.1827,0.7979
2,37.89,34.52,29.37,1.29,0.0060,0.0070,0.1697,0.8173
3,39.41,39.63,35.01,1.125,0.0084,0.0041,0.2011,0.7864
4,74.72,60.42,39.48,1.893,0.0054,0.0040,0.1572,0.8334
5,96.08,728.5,44.5,2.159,0.0207,0.0035,0.7011,0.2748
6,111.7,837.4,48.71,2.293,0.0109,0.0035,0.7956,0.1900
7,112.9,849.1,52.23,2.162,0.0061,0.0022,0.8195,0.1723
8,115.9,863.7,56.83,2.039,0.0031,0.0013,0.8173,0.1783
9,128.3,872.5,64.01,2.005,0.0026,0.0010,0.7639,0.2324
10,143.7,889.4,71.37,2.013,0.0018,0.0009,0.8158,0.1815
11,154.7,896.4,75.7,2.044,0.0012,0.0005,0.7577,0.2406
12,183.6,905.2,78.15,2.349,0.0008,0.0004,0.7327,0.2660
13,179.6,910.3,79.42,2.262,0.0013,0.0007,0.7764,0.2217
14,180.5,916.4,80.55,2.24,0.0014,0.0007,0.7715,0.2264
15,171.8,921.5,81.52,2.108,0.0020,0.0012,0.7090,0.2878
16,176.7,930,83.62,2.113,0.0019,0.0012,0.6898,0.3071
17,177.6,935.7,85.91,2.067,0.0016,0.0015,0.7065,0.2904
18,176.9,938,87.84,2.014,0.0014,0.0011,0.6928,0.3047
19,174.6,945.4,89.17,1.958,0.0013,0.0009,0.7278,0.2701
20,169.6,952.6,90.93,1.865,0.0015,0.0014,0.7007,0.2964
21,161.4,956.9,92.93,1.737,0.0014,0.0017,0.6032,0.3937
22,160.5,1027,95.49,1.68,0.0015,0.0014,0.6392,0.3579
23,164.8,1042,100.6,1.638,0.0008,0.0009,0.5782,0.4201
24,167.6,1051,106.2,1.579,0.0010,0.0007,0.6328,0.3656
25,166.7,1056,109.9,1.517,0.0018,0.0012,0.7331,0.2639
26,172,1069,111.2,1.547,0.0006,0.0007,0.6010,0.3976
27,199.3,1091,116,1.719,0.0009,0.0008,0.5940,0.4043
28,213,1099,123.3,1.728,0.0026,0.0015,0.5701,0.4258
29,223.8,1108,129.2,1.732,0.0054,0.0020,0.6511,0.3415
30,237.2,1114,137.3,1.727,0.0030,0.0013,0.5953,0.4004
31,257.1,1123,150.4,1.709,0.0024,0.0013,0.5918,0.4044
32,269.6,1132,162.1,1.664,0.0034,0.0013,0.7069,0.2885
33,296.7,1148,180.8,1.641,0.0027,0.0016,0.6721,0.3235
34,325.9,1168,201.3,1.619,0.0024,0.0016,0.7390,0.2570
35,362.5,1189,226.4,1.601,0.0030,0.0013,0.6241,0.3715
36,418.4,1212,254.8,1.642,0.0028,0.0023,0.7607,0.2343
37,488.5,1245,290.4,1.682,0.0032,0.0017,0.7626,0.2325
38,545.1,1264,319.7,1.705,0.0042,0.0018,0.7479,0.2461
39,591.8,1285,358.3,1.652,0.0046,0.0023,0.7127,0.2804
40,661.2,1306,402.2,1.644,0.0049,0.0019,0.7648,0.2284
41,707.7,1322,438.9,1.612,0.0037,0.0022,0.7869,0.2072
42,760.9,1331,471.1,1.615,0.0046,0.0026,0.7479,0.2450
43,778.7,1348,520.8,1.495,0.0077,0.0021,0.7334,0.2568
44,800.3,907,574.7,1.393,0.0050,0.0016,0.6174,0.3760
45,890.1,871.8,644.6,1.381,0.0085,0.0022,0.6133,0.3760
46,1070,1194,847.2,1.263,0.0112,0.0046,0.5164,0.4678
47,139.6,200.9,213.5,0.654,0.0035,0.0022,0.3566,0.6377
