layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected
0,q_proj,gptq,4096,4096,0,0.00197523832321167,0.001447439193725586,53.676357300785696,0.009179227465509721,394.72796630859375,482.68939208984375,17.155588150024414,74.86592102050781,23.495647430419922,62.51034927368164,0.982268214225769,51.3240966796875,0.44212406873703003,"2871,2650,3303,1669,565,891,1421,2646,162,87,2082,194,3608,29,1727,1800",613.0956420898438,,,,,0
0,k_proj,gptq,1024,4096,0,0.0019371509552001953,0.0014109611511230469,37.2349753755581,0.012232881976496001,230.4682159423828,285.19085693359375,11.634594917297363,29.85651969909668,16.68882179260254,25.975547790527344,0.982268214225769,35.947052001953125,0.4686155617237091,"2871,2650,3303,1669,565,891,1421,2646,87,162,194,2082,1727,3608,29,663",613.0956420898438,,,,,0
0,v_proj,gptq,1024,4096,0,0.0019087791442871094,0.0014576911926269531,0.20129925705085636,0.0009195060413190328,13.239114761352539,17.150089263916016,0.09947700053453445,0.43858110904693604,0.09444418549537659,0.34837889671325684,0.982268214225769,0.1905033439397812,0.15879687666893005,"2871,2650,1669,565,3303,1421,891,2646,87,194,162,2082,3608,1727,1800,29",613.0956420898438,,,,,0
0,o_proj,gptq,4096,4096,0,0.001980006694793701,0.0014528632164001465,4.499378072680344,0.00385737191427478,87.85183715820312,74.64352416992188,0.006873467471450567,0.012571033090353012,0.01093879621475935,0.012472154572606087,0.5945128202438354,4.46225118637085,0.21764472126960754,"3129,285,272,314,357,372,1341,386,383,263,336,344,1311,354,244,157",100.36190032958984,,,,,0
0,gate_proj,gptq,14336,4096,0,0.0020012004034859793,0.0015205144882202148,28.09264236425329,0.0029181748536285445,603.6375732421875,599.827880859375,6.4048662185668945,10.697928428649902,8.477012634277344,10.877683639526367,0.6468554735183716,28.033672332763672,0.07850565761327744,"3303,607,2871,1669,47,1759,2560,2650,1856,891,630,3488,1262,709,2461,3608",15.964418411254883,,,,,0
0,up_proj,gptq,14336,4096,0,0.001989330564226423,0.0015333890914916992,21.77391385121941,0.002693372677705276,497.0579528808594,487.1895446777344,5.283572673797607,8.61789321899414,6.829826831817627,8.767976760864258,0.6468554735183716,21.757104873657227,0.0667845830321312,"3303,2871,607,1669,47,1759,2560,2650,1856,3488,891,630,1262,2555,2461,3902",15.964418411254883,,,,,0
0,down_proj,gptq,4096,14336,0,0.0019640071051461355,0.0015303066798618861,21.688988017904194,0.0026729417432231044,521.07275390625,502.564697265625,0.028859619051218033,0.058749884366989136,0.059546440839767456,0.30712229013442993,0.9984935522079468,21.1790771484375,0.2728787064552307,"8268,10585,491,2605,8001,6337,11579,8509,8479,13768,378,10002,8733,3024,12829,14005",3447.137939453125,,,,,0
1,q_proj,gptq,4096,4096,0,0.0019925832748413086,0.0014661550521850586,24.425154564681677,0.003877996314201741,392.0983581542969,447.267333984375,17.348552703857422,65.58830261230469,30.086505889892578,59.73426818847656,0.8524165153503418,24.17275619506836,0.25334349274635315,"3572,1306,1935,979,3405,3837,3261,1856,709,1472,1902,444,541,2560,3266,3829",110.67117309570312,,,,,0
1,k_proj,gptq,1024,4096,0,0.0020105838775634766,0.0014238357543945312,14.795603226174217,0.004688996207535752,197.49819946289062,252.30661010742188,10.193635940551758,38.10884475708008,18.41542625427246,35.84830856323242,0.8524165153503418,14.74707317352295,0.2765398919582367,"3572,1935,979,3405,1306,3261,1856,3837,1472,709,541,444,1902,643,3829,866",110.67117309570312,,,,,0
1,v_proj,gptq,1024,4096,0,0.0019989013671875,0.001458883285522461,0.26839144578001306,0.0008008935116599031,19.545673370361328,20.0921573638916,0.2982129454612732,1.608609676361084,0.39190247654914856,1.4696446657180786,0.8524165153503418,0.26448625326156616,0.17891371250152588,"979,3405,3448,1932,3572,2973,3261,1856,630,911,2560,1472,1935,541,3837,2960",110.67117309570312,,,,,0
1,o_proj,gptq,4096,4096,0,0.0019893646240234375,0.0014309883117675781,6.62836427464282,0.004310741409696419,114.20958709716797,94.35546875,0.018106915056705475,0.02856115624308586,0.017322711646556854,0.019628874957561493,0.44952392578125,6.484969615936279,0.17428231239318848,"2612,2988,2429,2657,2643,2682,2589,2579,2620,2567,2587,2996,2608,2635,2610,2617",32.98811340332031,,,,,0
1,gate_proj,gptq,14336,4096,0,0.0019927535738263813,0.001510483877999442,25.748453636792533,0.002606764224251299,595.6918334960938,588.916748046875,12.251910209655762,19.169097900390625,16.099761962890625,21.873817443847656,0.45335882902145386,25.679584503173828,0.07100934535264969,"3475,1884,1759,3488,630,3476,1075,2456,47,1985,2300,2595,1268,431,1515,4028",6.930357456207275,,,,,0
1,up_proj,gptq,14336,4096,0,0.001992736543927874,0.0015382255826677596,21.157764739298553,0.002526649979777019,503.5532531738281,498.0574951171875,10.352472305297852,16.180219650268555,13.614827156066895,18.36998176574707,0.45335882902145386,21.083221435546875,0.0649949163198471,"3475,1884,3488,1759,3476,630,47,2456,1075,1268,2595,2300,1985,431,4028,1515",6.930357456207275,,,,,0
1,down_proj,gptq,4096,14336,0,0.0019442013331821986,0.0015341384070260184,45.78388244581457,0.005484315808299806,504.3067626953125,505.77691650390625,15.213918685913086,28.772680282592773,266.3814392089844,504.94873046875,0.9999954104423523,34.8779296875,0.9999816417694092,"198,2427,6412,591,12657,12638,73,8396,626,8915,9581,8570,2973,1383,1856,4392",14134.30078125,,,,,0
2,q_proj,gptq,4096,4096,0,0.001979827880859375,0.0014724135398864746,19.33139778661881,0.0032944926835097484,356.83447265625,400.66815185546875,57.97925567626953,135.6996612548828,72.06932067871094,110.7021713256836,0.9278969764709473,19.214298248291016,0.24784907698631287,"3475,3488,4028,1075,2993,431,1812,643,1515,3476,766,509,2300,3099,3823,979",39.66903305053711,,,,,0
2,k_proj,gptq,1024,4096,0,0.0019655227661132812,0.0014426708221435547,14.516917363865133,0.004409917747284992,207.210693359375,238.23416137695312,40.22117233276367,81.110107421875,51.24407958984375,65.5214614868164,0.9278969764709473,14.307455062866211,0.24467241764068604,"3475,3488,4028,1075,2993,1515,1812,643,431,3476,766,2300,3823,509,2283,979",39.66903305053711,,,,,0
2,v_proj,gptq,1024,4096,0,0.001960277557373047,0.0014660358428955078,0.32160860343401615,0.0014024426293873984,13.527523040771484,13.664560317993164,1.4582982063293457,4.1548871994018555,1.741066336631775,3.448103427886963,0.9278969764709473,0.3214377164840698,0.147446870803833,"3488,3475,1075,4028,2993,1515,2300,766,1812,431,643,509,3476,2283,1109,1370",39.66903305053711,,,,,0
2,o_proj,gptq,4096,4096,0,0.001992166042327881,0.0014508366584777832,4.306599205952807,0.003333523005986547,93.02461242675781,77.22854614257812,0.025969957932829857,0.04950118809938431,0.07905863225460052,0.09347350895404816,0.457968533039093,4.285252571105957,0.22318388521671295,"1947,2938,2682,1819,3546,3418,2810,3290,3162,2868,2612,3066,1563,1691,3849,3616",177.99147033691406,,,,,0
2,gate_proj,gptq,14336,4096,0,0.0019885471888950895,0.0015110969543457031,22.78676671140422,0.0021983064582208485,616.2249145507812,609.7561645507812,20.054203033447266,29.472999572753906,26.391212463378906,32.04496765136719,0.5680553913116455,22.771709442138672,0.06772003322839737,"4062,1384,2978,2082,162,2088,3008,2005,2629,3608,630,1884,3596,47,2219,2456",13.642355918884277,,,,,0
2,up_proj,gptq,14336,4096,0,0.001991220882960728,0.0015302385602678572,17.7458079025049,0.002139227340849437,492.66156005859375,485.20831298828125,16.051311492919922,23.320899963378906,21.022056579589844,25.381622314453125,0.5680553913116455,17.725862503051758,0.05709555745124817,"4062,1384,2978,2082,162,2088,3608,2005,630,3008,2629,1884,47,2219,3596,2456",13.642355918884277,,,,,0
2,down_proj,gptq,4096,14336,0,0.001972402845110212,0.0015378509249005998,22.225793216151942,0.0026566137033647583,514.80615234375,501.4869689941406,0.10487067699432373,0.1589849293231964,0.12617754936218262,0.14671653509140015,0.6234958171844482,22.135644912719727,0.15953464806079865,"4786,6850,6879,5843,7259,3328,5668,2708,4380,11125,7799,6898,11950,9805,4403,4555",287.7857360839844,,,,,0
