layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x
27,q_proj,gptq,4096,4096,0,0.002025425434112549,0.0014359354972839355,107.84357029219382,0.022934437409247947,415.5294189453125,304.0801086425781,80.84481811523438,183.02716064453125,183.171875,183.32627868652344,0.8197888135910034,107.57376861572266,0.17998693883419037,"2932,1189,2485,3266,133,1162,1815,3231,866,2265,2261,709,291,3585,2088,1039",52.12681579589844,,,,,0,68.16197204589844,70.34249114990234,88.26083374023438,94.03041076660156,"0.856,0.856,1.080,0.951,0.790,1.276,0.855,0.821",2958.19287109375,4141.775390625,"173.5,173.5,4030,4532,2375,5484,3501,3398",27.27663230895996,34.789817810058594,"7.357,7.357,34.97,35.88,31.11,34.37,33.4,33.77","2.125,2.125,10.42,9.686,7.994,11.04,8.677,8.533","2.296,2.296,10.02,9.93,8.991,9.775,9.383,9.418",630,0.008207909762859344,630,0.011834198608994484,"3585,133,1039,3231,2932,2352,2764,290",0.30660706758499146,0.343719482421875,0.351226806640625,"1.69,1.64,1.57,1.52,1.44,0.835,1.33,1.34","6.21,5.88,5.31,5.03,4.63,4.62,4.53,4.37"
27,k_proj,gptq,1024,4096,0,0.0020341873168945312,0.001474618911743164,72.37717552621098,0.028584276859757993,266.8543701171875,192.63311767578125,53.747901916503906,123.82899475097656,119.86888885498047,123.16144561767578,0.8197888135910034,71.8951187133789,0.19874991476535797,"2932,1815,1189,2485,709,3266,866,291,2088,2261,3231,912,2629,2265,133,3881",52.12681579589844,,,,,0,44.124366760253906,46.07450866699219,60.68069076538086,62.83100891113281,"0.974,0.974,1.207,0.792,0.829,1.280,0.880,0.764",2958.19287109375,4141.775390625,"173.5,173.5,4030,4532,2375,5484,3501,3398",27.27663230895996,34.789817810058594,"7.357,7.357,34.97,35.88,31.11,34.37,33.4,33.77","1.749,1.749,8.507,7.497,6.483,8.831,7.193,6.822","1.772,1.772,7.744,8.424,7.121,7.806,7.669,7.805",249,0.02301427721977234,54,0.018194718286395073,"3585,133,1039,3231,2932,2352,2764,290",0.3585871458053589,0.2911376953125,0.30078125,"1.46,1.32,1.2,1.32,1.46,0.718,1.4,1.58","6.21,5.88,5.31,5.03,4.63,4.62,4.53,4.37"
27,v_proj,gptq,1024,4096,0,0.002040863037109375,0.0014770030975341797,21.51708880172447,0.022977160877705332,87.97020721435547,65.6666259765625,16.619770050048828,33.55205154418945,37.35628128051758,35.172080993652344,0.8197888135910034,21.472875595092773,0.1185787171125412,"2088,2261,2485,3585,2265,2629,3231,2040,87,912,1189,866,3183,2646,103,2330",52.12681579589844,,,,,0,14.000612258911133,13.106775283813477,18.346988677978516,18.167030334472656,"2.815,2.815,1.262,0.993,0.956,1.289,0.989,0.832",2958.19287109375,4141.775390625,"173.5,173.5,4030,4532,2375,5484,3501,3398",27.27663230895996,34.789817810058594,"7.357,7.357,34.97,35.88,31.11,34.37,33.4,33.77","0.8636,0.8636,4.715,4.372,3.751,4.954,3.97,3.845","0.5148,0.5148,4.198,4.387,3.836,4.363,3.992,4.216",644,0.014240625314414501,224,0.01725994236767292,"3585,133,1039,3231,2932,2352,2764,290",0.20568370819091797,0.83203125,0.865966796875,"0.215,0.0829,0.118,0.13,0.0807,0.123,0.194,0.182","6.21,5.88,5.31,5.03,4.63,4.62,4.53,4.37"
27,o_proj,gptq,4096,4096,0,0.002324402332305908,0.0015065670013427734,82.32036445052483,0.03027889612894652,238.25048828125,153.84640502929688,0.7563906908035278,2.7001912593841553,1.1553418636322021,1.437649130821228,0.5248703956604004,82.16957092285156,0.08480940014123917,"3956,2074,3828,3700,4084,1909,1279,1911,1919,935,2202,2037,1653,2458,2047,2330",83.13778686523438,,,,,0,0.4017392694950104,0.5412383675575256,0.45037755370140076,0.5749154686927795,"0.391,0.391,0.917,0.869,0.646,1.089,0.501,0.476",1672.608154296875,2098.479248046875,"22.43,22.43,2359,1347,5349,3651,323.2,307.1",3.214317560195923,3.820115804672241,"1.603,1.603,4.082,3.066,7.223,3.958,2.044,2.135","0.187,0.187,0.7646,0.5557,1.205,0.8008,0.2795,0.28","0.2988,0.2988,0.7983,0.5962,1.5,0.7675,0.3947,0.4059",2567,0.0035804666113108397,1875,0.003795074997469783,"780,3700,864,852,879,796,769,863",0.25650307536125183,0.36578369140625,0.3671875,"0.515,0.479,0.883,0.853,0.929,0.943,0.93,0.97","1.41,1.12,0.954,0.856,0.825,0.805,0.785,0.773"
27,gate_proj,gptq,14336,4096,0,0.0020219087600708008,0.0014432838984898158,228.00986101918215,0.015853312257583085,1074.87451171875,837.8145751953125,181.9204864501953,330.2614440917969,412.3273620605469,372.4678955078125,0.2418317198753357,227.79733276367188,0.045765820890665054,"2613,2742,761,2082,1805,325,2219,2209,3183,1951,2978,568,667,1384,1658,540",33.78300476074219,,,,,0,156.3018341064453,148.11297607421875,211.9484405517578,195.00650024414062,"0.452,0.452,1.152,1.173,1.066,1.244,1.065,1.006",3222.69140625,4458.5732421875,"200.2,200.2,4283,4958,2640,6052,3796,3651",26.359149932861328,30.605751037597656,"17.72,17.72,28.87,31.39,24.13,33.29,28.86,28.91","5.37,5.37,14.04,15.3,11.37,16.73,13.4,13.15","7.985,7.985,13.08,14.12,11.01,15,12.99,13.11",2802,0.0027981100138276815,6737,0.002736539114266634,"2352,3183,3585,2066,4055,788,1800,1306",0.06175776198506355,0.3813738226890564,0.3934500813484192,"1.53,1.76,1.77,1.86,1.47,1.59,1.98,1.88","2.62,2.28,1.61,1.55,1.47,1.41,1.37,1.33"
27,up_proj,gptq,14336,4096,0,0.0020467042922973633,0.0015275818961007254,140.58755210463244,0.01565141508597564,663.9509887695312,517.8902587890625,112.48094177246094,203.8199920654297,255.41419982910156,229.14013671875,0.2418317198753357,140.46353149414062,0.04471009597182274,"2613,761,2742,2082,325,1805,2219,3183,2209,2978,1951,568,1384,667,788,540",33.78300476074219,,,,,0,97.52063751220703,92.13819885253906,131.03794860839844,118.12782287597656,"0.447,0.447,1.172,1.173,1.032,1.241,1.074,1.032",3222.69140625,4458.5732421875,"200.2,200.2,4283,4958,2640,6052,3796,3651",26.359149932861328,30.605751037597656,"17.72,17.72,28.87,31.39,24.13,33.29,28.86,28.91","4.248,4.248,11.15,12.05,8.758,13.34,10.56,10.41","6.352,6.352,10.3,11.12,8.619,11.98,10.18,10.25",13135,0.00138513941783458,13135,0.0017889178125187755,"2352,3183,3585,2066,4055,788,1800,1306",0.06486938893795013,0.3955078423023224,0.4125627875328064,"0.907,1.32,1.14,1.48,1.21,1.33,1.38,1.49","2.62,2.28,1.61,1.55,1.47,1.41,1.37,1.33"
27,down_proj,gptq,4096,14336,0,0.001999122755868094,0.0015309878758021764,200.43392647392545,0.022528516862585064,720.48583984375,511.6924133300781,5.034372329711914,11.352315902709961,8.376286506652832,7.209836959838867,0.4226686954498291,200.3886260986328,0.11922195553779602,"13857,8140,3778,11829,6497,3014,10519,10139,216,5116,7111,9333,2143,4646,8051,2147",1752.3468017578125,,,,,0,3.287710666656494,2.730994939804077,4.506957054138184,3.766063690185547,"0.492,0.492,1.294,1.275,1.027,1.293,1.216,1.156",9710.08203125,12920.478515625,"146,146,1.179e+04,1.625e+04,5945,2.066e+04,1.2e+04,1.074e+04",8.1826171875,10.297154426574707,"3.209,3.209,8.947,11,7.847,12.03,9.45,9.772","0.4286,0.4286,1.924,2.373,1.494,2.59,1.962,1.953","0.6113,0.6113,1.692,2.101,1.474,2.278,1.779,1.816",3527,0.0045024193823337555,2652,0.003220037091523409,"3110,1971,6215,8801,8140,6395,7648,10519",0.20765390992164612,0.351043701171875,0.3526611328125,"0.819,0.766,0.737,0.726,0.554,0.777,0.736,0.656","2.04,1.28,1.11,1.02,0.971,0.952,0.933,0.81"
28,q_proj,gptq,4096,4096,0,0.002070307731628418,0.0014595985412597656,99.69654357701118,0.021313425200768,398.22381591796875,294.73834228515625,73.84642791748047,173.03431701660156,164.63870239257812,168.76319885253906,0.810177206993103,99.57141876220703,0.19185160100460052,"2932,1189,133,3266,2485,291,1815,1162,2265,3231,3585,866,2088,709,3070,1298",55.726619720458984,,,,,0,62.01871109008789,64.96348571777344,80.51301574707031,86.4935073852539,"0.575,0.575,1.063,0.991,0.804,1.275,0.855,0.773",2978.98291015625,4039.03271484375,"186.4,186.4,4050,4622,2618,5462,3426,3281",27.207748413085938,33.73112106323242,"8.921,8.921,34.41,35.26,30.92,33.61,32.56,33.06","2.087,2.087,9.91,9.502,7.686,10.3,8.311,8.037","2.754,2.754,9.61,9.544,8.571,9.127,8.987,9.142",1961,0.009285205975174904,1871,0.005513402633368969,"3585,133,1039,3231,2764,290,2352,2932",0.3077583909034729,0.329833984375,0.338226318359375,"1.69,1.63,1.54,1.53,1.31,1.2,0.798,1.46","6.18,6.15,5.1,5.09,4.66,4.53,4.5,4.19"
28,k_proj,gptq,1024,4096,0,0.0020151138305664062,0.0014672279357910156,59.88241666155426,0.02608518052958608,232.11749267578125,169.84202575683594,43.9038200378418,107.85641479492188,96.2025375366211,103.28379821777344,0.810177206993103,59.795127868652344,0.21223798394203186,"2932,1189,1815,291,2485,3881,2265,709,133,2088,3266,3231,866,3585,2629,912",55.726619720458984,,,,,0,38.378631591796875,39.580406188964844,46.766868591308594,51.92882537841797,"0.751,0.751,1.181,0.953,0.779,1.357,0.800,0.760",2978.98291015625,4039.03271484375,"186.4,186.4,4050,4622,2618,5462,3426,3281",27.207748413085938,33.73112106323242,"8.921,8.921,34.41,35.26,30.92,33.61,32.56,33.06","1.712,1.712,7.82,7.463,6.117,8.324,6.371,6.085","1.976,1.976,7.196,7.644,6.931,7.147,7.124,6.982",612,0.013894096948206425,635,0.02731570415198803,"3585,133,1039,3231,2764,290,2352,2932",0.31390997767448425,0.29833984375,0.30078125,"1.26,1.27,1.19,1.35,1.31,1.39,0.76,1.43","6.18,6.15,5.1,5.09,4.66,4.53,4.5,4.19"
28,v_proj,gptq,1024,4096,0,0.0020585060119628906,0.0014119148254394531,19.31734963842483,0.019284045113246336,83.79204559326172,63.87606430053711,14.830375671386719,30.438766479492188,32.25550079345703,31.072368621826172,0.810177206993103,19.236217498779297,0.11214146763086319,"2088,2485,2629,3183,3585,2265,3881,912,1189,2646,3231,87,2082,291,2978,2261",55.726619720458984,,,,,0,11.980459213256836,11.889360427856445,16.056793212890625,15.755073547363281,"2.417,2.417,1.043,1.047,0.875,1.335,0.810,0.830",2978.98291015625,4039.03271484375,"186.4,186.4,4050,4622,2618,5462,3426,3281",27.207748413085938,33.73112106323242,"8.921,8.921,34.41,35.26,30.92,33.61,32.56,33.06","0.8797,0.8797,4.162,4.327,3.37,4.653,3.581,3.525","0.5659,0.5659,4.074,4.229,3.604,4.027,3.978,3.868",387,0.012157997116446495,504,0.011415564455091953,"3585,133,1039,3231,2764,290,2352,2932",0.20345646142959595,0.8834228515625,0.91162109375,"0.159,0.0672,0.0875,0.101,0.173,0.0902,0.14,0.0505","6.18,6.15,5.1,5.09,4.66,4.53,4.5,4.19"
