layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected
0,q_proj,gptq,4096,4096,0,0.0019869208335876465,0.001447439193725586,154.52175172317044,0.026424861498849105,500.8153076171875,482.68939208984375,13.787897109985352,74.86592102050781,18.46335220336914,62.51034927368164,0.982268214225769,151.24130249023438,0.3682945966720581,"2871,2650,3303,1669,891,565,2646,1421,162,194,2082,3608,87,29,2333,133",613.0956420898438,,,,,0
0,k_proj,gptq,1024,4096,0,0.0019676685333251953,0.0014109611511230469,105.56144181856564,0.03468031457012634,302.05267333984375,285.19085693359375,9.345664978027344,29.85651969909668,12.950862884521484,25.975547790527344,0.982268214225769,104.26097106933594,0.3997632563114166,"2871,3303,2650,891,1669,565,2646,1421,162,194,87,3608,2082,4055,1727,1384",613.0956420898438,,,,,0
0,v_proj,gptq,1024,4096,0,0.0019383430480957031,0.0014576911926269531,0.7452994851203698,0.0034044208071121102,13.76755142211914,17.150089263916016,0.08269409090280533,0.43858110904693604,0.08358496427536011,0.34837889671325684,0.982268214225769,0.6964983940124512,0.10766583681106567,"2871,2650,891,1669,3303,565,1421,2646,194,87,162,3608,2082,2333,29,663",613.0956420898438,,,,,0
0,o_proj,gptq,4096,4096,0,0.002025604248046875,0.0014528632164001465,13.325386707984535,0.011424017187248664,96.85556030273438,74.64352416992188,0.005575999151915312,0.012571033090353012,0.009985021315515041,0.012472154572606087,0.5945128202438354,13.233219146728516,0.16615375876426697,"3129,272,314,1341,285,372,386,357,383,263,1311,336,511,344,413,1289",100.36190032958984,,,,,0
0,gate_proj,gptq,14336,4096,0,0.0020283801215035574,0.0015205144882202148,88.81762080722807,0.009226093588425518,667.1845703125,599.827880859375,5.39290189743042,10.697928428649902,8.315008163452148,10.877683639526367,0.6468554735183716,88.62034606933594,0.05254928395152092,"607,3303,1669,2871,1856,3488,2461,2888,689,2560,2082,3475,1122,29,1884,3261",15.964418411254883,,,,,0
0,up_proj,gptq,14336,4096,0,0.002017225537981306,0.0015333890914916992,70.18953913244817,0.008682251075842938,547.56982421875,487.1895446777344,4.475935935974121,8.61789321899414,6.723452568054199,8.767976760864258,0.6468554735183716,70.09008026123047,0.04360121488571167,"3303,2871,1669,607,3488,1856,2461,2888,2560,689,3475,1884,199,2082,1122,29",15.964418411254883,,,,,0
0,down_proj,gptq,4096,14336,0,0.001978499548775809,0.0015303066798618861,88.07494156696339,0.010854318682454633,590.1610107421875,502.564697265625,0.021809253841638565,0.058749884366989136,0.05987152084708214,0.30712229013442993,0.9984935522079468,86.79348754882812,0.16398945450782776,"8268,10585,2605,491,8001,11579,13768,8509,8733,6337,8479,5647,10002,3106,3024,6487",3447.137939453125,,,,,0
1,q_proj,gptq,4096,4096,0,0.002011239528656006,0.0014661550521850586,76.41481473656984,0.012132425574384025,446.3011474609375,447.267333984375,12.631735801696777,65.7831039428711,26.863189697265625,59.646324157714844,0.8543715476989746,75.988037109375,0.2197003811597824,"3572,1935,1306,979,1472,3261,1902,3837,541,3405,3829,3448,1856,1163,2345,29",110.46136474609375,,,,,0
1,k_proj,gptq,1024,4096,0,0.0020036697387695312,0.0014238357543945312,45.80798460378614,0.014517384847278691,230.11932373046875,252.30661010742188,7.366936683654785,38.232269287109375,16.051908493041992,35.7403450012207,0.8543715476989746,45.61384582519531,0.2419273853302002,"3572,1935,979,1306,1472,3261,1902,541,3829,3837,1856,2345,3405,103,3490,29",110.46136474609375,,,,,0
1,v_proj,gptq,1024,4096,0,0.002031564712524414,0.001458883285522461,0.9932563352288521,0.0029639266333097163,20.304943084716797,20.0921573638916,0.23315109312534332,1.612907886505127,0.3442763090133667,1.4662656784057617,0.8543715476989746,0.9869899749755859,0.14047770202159882,"3448,979,1932,3572,689,2973,911,2058,1472,2822,2717,3508,1122,3261,2347,2960",110.46136474609375,,,,,0
1,o_proj,gptq,4096,4096,0,0.002044200897216797,0.0014309883117675781,20.521283424853664,0.013345969318259949,128.74009704589844,94.35546875,0.014207882806658745,0.02850700169801712,0.016651801764965057,0.019694184884428978,0.44569212198257446,20.212444305419922,0.12862446904182434,"2988,2429,2612,2657,2996,2682,2589,2620,2643,2579,2608,2587,2635,2610,2567,2681",32.46661376953125,,,,,0
1,gate_proj,gptq,14336,4096,0,0.002025978905814035,0.001510483877999442,83.44598243179965,0.008448041374799025,655.6626586914062,588.916748046875,10.487630844116211,19.165224075317383,15.631681442260742,21.94153594970703,0.4450231194496155,83.25651550292969,0.05424284562468529,"3475,2993,2300,3823,1075,3476,1812,1515,3488,1717,2456,1985,561,1884,2595,1669",6.909948825836182,,,,,0
