layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos
0,q_proj,gptq,4096,4096,0,0.0018897056579589844,0.0014759302139282227,28.326626997431443,0.09722216224079741,46.49515151977539,24.301708221435547,1.4845209121704102,77.42010498046875,4.90131950378418,69.78105926513672,0.9929622411727905,27.760526657104492,0.7947665452957153,"1387,3570,3680,3034,3876,3565,291,3178,2702,2960,2290,1004,2078,3423,705,2788",2256.6044921875,,,,,0,4.849684715270996,29.68010711669922,0.8002305030822754,38.23163986206055,"1.617,1.617,0.034,0.077,0.069,0.045,0.007,0.029",333.1452331542969,286.178466796875,"198.6,198.6,335,694.3,261.6,509.7,119.8,347.6",23.222957611083984,24.19446563720703,"21.36,21.36,22.22,21.79,26.89,19.58,29.03,23.56"
0,k_proj,gptq,1024,4096,0,0.001920938491821289,0.0014595985412597656,7.910187745193583,0.09725401348381131,13.021432876586914,6.873730659484863,0.3962754011154175,25.54482650756836,1.4685876369476318,23.364547729492188,0.9929622411727905,7.597140789031982,0.8094412088394165,"1387,3570,3680,3034,3876,705,291,3565,2702,2960,3178,1004,2078,3423,3641,2788",2256.6044921875,,,,,0,1.5360163450241089,10.408878326416016,0.20636706054210663,12.510263442993164,"0.717,0.717,0.026,0.061,0.051,0.038,0.006,0.026",333.1452331542969,286.178466796875,"198.6,198.6,335,694.3,261.6,509.7,119.8,347.6",23.222957611083984,24.19446563720703,"21.36,21.36,22.22,21.79,26.89,19.58,29.03,23.56"
0,v_proj,gptq,1024,4096,0,0.0018177032470703125,0.0014460086822509766,0.17661076042201745,0.010744571616702473,1.180494785308838,1.3029652833938599,0.011006487533450127,0.08930182456970215,0.017149493098258972,0.0819316953420639,0.9929622411727905,0.17216260731220245,0.3504418730735779,"3570,1387,2702,3565,291,3680,3876,3034,2290,2788,3178,1004,2960,1007,1517,34",2256.6044921875,,,,,0,0.01177096925675869,0.03674208000302315,0.0059702713042497635,0.043205272406339645,"0.940,0.940,0.149,0.383,0.241,0.268,0.058,0.186",333.1452331542969,286.178466796875,"198.6,198.6,335,694.3,261.6,509.7,119.8,347.6",23.222957611083984,24.19446563720703,"21.36,21.36,22.22,21.79,26.89,19.58,29.03,23.56"
0,o_proj,gptq,4096,4096,0,0.0020784735679626465,0.0014583468437194824,3.7919386472042333,0.05794424372945245,9.294483184814453,4.474475860595703,0.0002421861281618476,0.0007493578596040606,0.0002734606387093663,0.0007179317763075233,0.4576517343521118,3.7717418670654297,0.16624896228313446,"3808,2355,105,2227,2099,3950,4064,3719,3825,3821,3746,1374,3785,1380,3822,4081",79.98078918457031,,,,,0,0.00011925273429369554,0.00037454592529684305,0.0001402551424689591,0.00033981396700255573,"0.028,0.028,0.211,0.362,0.644,0.514,0.393,0.342",814.6832885742188,973.2162475585938,"155.9,155.9,556.6,1424,1509,924.1,897.6,895.1",0.5712510347366333,0.4891365170478821,"0.6253,0.6253,0.606,0.6206,0.5877,0.4682,0.5391,0.4978"
0,gate_proj,gptq,14336,4096,0,0.0020878485270908903,0.001507810183933803,20.710489727357672,0.034447864580018805,56.32737731933594,36.896846771240234,1.5768355131149292,4.757442474365234,2.273908853530884,5.051457405090332,0.7419975399971008,20.687294006347656,0.04348178207874298,"3034,2702,1387,3565,291,3826,3175,34,1517,3609,3570,3423,2290,2112,3178,2044",37.553245544433594,,,,,0,1.1759206056594849,2.801670789718628,1.0633407831192017,2.3839893341064453,"0.044,0.044,0.545,0.792,0.331,0.731,0.216,0.493",2511.938232421875,2260.9326171875,"230.2,230.2,3110,6516,1543,4708,973,2784",17.193199157714844,15.931004524230957,"17.54,17.54,16.85,20.02,15.53,18.16,15.11,16.8"
0,up_proj,gptq,14336,4096,0,0.002076319285801479,0.0015275818961007254,17.21904881206767,0.03229005973668601,48.725311279296875,32.03059005737305,1.418020248413086,4.10382080078125,2.0104873180389404,4.292934894561768,0.7419975399971008,17.20016098022461,0.0350503996014595,"2702,3034,1387,3175,3565,291,3826,34,3609,1517,3570,2290,3423,2112,3178,2044",37.553245544433594,,,,,0,1.0372179746627808,2.361618757247925,0.9462869167327881,2.0441811084747314,"0.051,0.051,0.593,0.802,0.350,0.738,0.228,0.513",2511.938232421875,2260.9326171875,"230.2,230.2,3110,6516,1543,4708,973,2784",17.193199157714844,15.931004524230957,"17.54,17.54,16.85,20.02,15.53,18.16,15.11,16.8"
0,down_proj,gptq,4096,14336,0,0.0020229986735752653,0.0015366758619035994,29.413795124768967,0.0592755796246971,61.097068786621094,30.318199157714844,0.0007838643505237997,0.0037549370899796486,0.001962952548637986,0.07515332102775574,0.9989789724349976,28.434486389160156,0.19125233590602875,"3436,2354,9677,11909,7646,712,11515,10549,9693,10861,10801,13691,7642,9651,11968,7748",5568.38916015625,,,,,0,0.0012240774231031537,0.09897773712873459,0.0007681075949221849,0.0009743044502101839,"0.001,0.001,0.671,1.377,1.179,0.700,0.643,0.723",13438.689453125,9406.8525390625,"233.8,233.8,2.623e+04,3.55e+04,1.36e+04,1.268e+04,8202,1.083e+04",3.6354827880859375,0.6436451077461243,"11.98,11.98,1.123,0.9935,0.6642,0.935,0.6732,0.741"
1,q_proj,gptq,4096,4096,0,0.0019237995147705078,0.0014598369598388672,12.105235981508295,0.04485458804502188,28.57598876953125,19.4949893951416,3.7101380825042725,78.0863265991211,5.526904106140137,67.604248046875,0.9716187119483948,12.047121047973633,0.20633448660373688,"3175,3398,2191,104,271,1935,932,1846,3646,2061,3297,2960,4081,3829,1113,3743",651.650146484375,,,,,0,3.207488775253296,29.247819900512695,2.3070485591888428,37.40570831298828,"1.328,1.328,0.124,0.121,0.116,0.081,0.041,0.068",528.0183715820312,493.2181701660156,"156.9,156.9,790.7,851.2,713.6,646.1,361.3,547.4",48.09906005859375,56.846439361572266,"14.91,14.91,58.85,62.49,58.86,57.48,60.19,57.12"
1,k_proj,gptq,1024,4096,0,0.00191497802734375,0.0014612674713134766,6.021017782903472,0.059366187146127875,12.4527587890625,8.428899765014648,1.7864720821380615,49.17585754394531,2.7336254119873047,44.26556396484375,0.9716187119483948,5.9828200340271,0.225938618183136,"3398,3175,2191,104,1935,271,3646,1113,2960,1846,3829,932,2398,2061,3743,3891",651.650146484375,,,,,0,1.6898530721664429,19.631237030029297,1.107500672340393,23.90711212158203,"1.042,1.042,0.098,0.073,0.083,0.058,0.030,0.051",528.0183715820312,493.2181701660156,"156.9,156.9,790.7,851.2,713.6,646.1,361.3,547.4",48.09906005859375,56.846439361572266,"14.91,14.91,58.85,62.49,58.86,57.48,60.19,57.12"
1,v_proj,gptq,1024,4096,0,0.0018889904022216797,0.0014853477478027344,0.31583989089110687,0.01260754025764599,1.7730793952941895,1.4686355590820312,0.1152699887752533,1.1784088611602783,0.14847628772258759,1.1125046014785767,0.9716187119483948,0.31425753235816956,0.11895349621772766,"3175,2191,1846,271,104,932,124,2061,3829,3646,3297,4036,888,3891,2398,1113",651.650146484375,,,,,0,0.07439132034778595,0.492573618888855,0.0696413516998291,0.590315580368042,"0.562,0.562,0.206,0.162,0.167,0.148,0.080,0.128",528.0183715820312,493.2181701660156,"156.9,156.9,790.7,851.2,713.6,646.1,361.3,547.4",48.09906005859375,56.846439361572266,"14.91,14.91,58.85,62.49,58.86,57.48,60.19,57.12"
