model,category,layer,head,attention
fp16,bullet_points,4,22,0.0009297371
fp16,bullet_points,4,23,0.0004052162
fp16,bullet_points,4,24,0.00077466964
fp16,bullet_points,4,25,0.0053750994
fp16,bullet_points,4,26,0.0006581306
fp16,bullet_points,4,27,0.0012762069
fp16,bullet_points,5,0,0.0014703751
fp16,bullet_points,5,1,0.0032165528
fp16,bullet_points,5,2,0.0054416656
fp16,bullet_points,5,3,0.0020870208
fp16,bullet_points,5,4,0.0028423308
fp16,bullet_points,5,5,0.00047216416
fp16,bullet_points,5,6,0.0005132675
fp16,bullet_points,5,7,0.0010623932
fp16,bullet_points,5,8,0.0009238243
fp16,bullet_points,5,9,0.0020267486
fp16,bullet_points,5,10,0.001821518
fp16,bullet_points,5,11,0.00092430116
fp16,bullet_points,5,12,0.0028640747
fp16,bullet_points,5,13,0.0025291443
fp16,bullet_points,5,14,0.00035834312
fp16,bullet_points,5,15,0.00016064644
fp16,bullet_points,5,16,0.0007501602
fp16,bullet_points,5,17,0.0007627487
fp16,bullet_points,5,18,9.0765956e-05
fp16,bullet_points,5,19,4.6873094e-05
fp16,bullet_points,5,20,0.00011105537
fp16,bullet_points,5,21,0.00014647245
fp16,bullet_points,5,22,0.002252388
fp16,bullet_points,5,23,0.0020944118
fp16,bullet_points,5,24,0.0011314392
fp16,bullet_points,5,25,0.00081357954
fp16,bullet_points,5,26,0.0009700775
fp16,bullet_points,5,27,0.017354202
fp16,bullet_points,6,0,0.00092840195
fp16,bullet_points,6,1,0.0015237809
fp16,bullet_points,6,2,0.0032297135
fp16,bullet_points,6,3,0.0013822556
fp16,bullet_points,6,4,0.00033540727
fp16,bullet_points,6,5,0.0002830267
fp16,bullet_points,6,6,0.0024044036
fp16,bullet_points,6,7,0.0063621523
fp16,bullet_points,6,8,0.010877227
fp16,bullet_points,6,9,0.004795837
fp16,bullet_points,6,10,0.0042831423
fp16,bullet_points,6,11,0.0015748978
fp16,bullet_points,6,12,0.0014453888
fp16,bullet_points,6,13,0.0014986038
fp16,bullet_points,6,14,0.00271492
fp16,bullet_points,6,15,0.006340027
fp16,bullet_points,6,16,0.0021606446
fp16,bullet_points,6,17,0.0032470704
fp16,bullet_points,6,18,0.0005106926
fp16,bullet_points,6,19,0.0018383026
fp16,bullet_points,6,20,0.004172516
fp16,bullet_points,6,21,0.0032802583
fp16,bullet_points,6,22,0.0045661926
fp16,bullet_points,6,23,0.004220581
fp16,bullet_points,6,24,0.0027086257
fp16,bullet_points,6,25,0.0015089035
fp16,bullet_points,6,26,0.00092077255
fp16,bullet_points,6,27,0.0036603927
fp16,bullet_points,7,0,0.0022087097
fp16,bullet_points,7,1,0.002500534
fp16,bullet_points,7,2,0.0049331663
fp16,bullet_points,7,3,0.0041519166
fp16,bullet_points,7,4,0.0016655922
fp16,bullet_points,7,5,0.0032871247
fp16,bullet_points,7,6,0.0011585236
