layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos
0,q_proj,gptq,4096,4096,0,0.001835644245147705,0.0014710426330566406,6.399658003038843,0.02198759841738197,23.78731346130371,24.270465850830078,2.4070892333984375,78.15774536132812,10.912712097167969,61.004310607910156,0.9872356653213501,6.240321159362793,0.8641821146011353,"1387,3570,3680,3876,291,3034,2960,3178,3565,2290,1004,2702,2078,1007,3641,3423",2252.517333984375,,,,,0,10.160037994384766,26.281084060668945,0.9915576577186584,39.335269927978516,"4.163,4.163,0.093,0.053,0.021,0.037,0.027,0.028",97.66637420654297,79.90447998046875,"151.1,151.1,0.2696,141.8,47.04,102.8,94,93.32",20.398958206176758,24.611705780029297,"21.16,21.16,1.849,19.47,29.1,23.52,23.02,23.91"
0,k_proj,gptq,1024,4096,0,0.0018358230590820312,0.0014584064483642578,1.8171770247353904,0.02238584513401487,6.67934513092041,6.853777885437012,0.6417902708053589,25.401411056518555,3.150118350982666,20.391357421875,0.9872356653213501,1.7377078533172607,0.8812105655670166,"1387,3570,3680,3034,3876,291,2960,3565,2702,3178,1004,2078,3641,3423,2290,1007",2252.517333984375,,,,,0,2.9563896656036377,9.099915504455566,0.2668944001197815,12.771344184875488,"1.707,1.707,0.071,0.047,0.021,0.035,0.022,0.023",97.66637420654297,79.90447998046875,"151.1,151.1,0.2696,141.8,47.04,102.8,94,93.32",20.398958206176758,24.611705780029297,"21.16,21.16,1.849,19.47,29.1,23.52,23.02,23.91"
0,v_proj,gptq,1024,4096,0,0.0017917156219482422,0.00145721435546875,0.02993256286154775,0.0018252495052916678,1.0210635662078857,1.3003123998641968,0.01698841154575348,0.09443801641464233,0.023561980575323105,0.07458536326885223,0.9872356653213501,0.028500238433480263,0.510498583316803,"3570,1387,291,3565,3876,2702,2290,2960,3034,1004,3680,3178,1007,2788,3641,34",2252.517333984375,,,,,0,0.016893748193979263,0.03298727422952652,0.007689169142395258,0.046073008328676224,"2.094,2.094,0.187,0.313,0.112,0.230,0.192,0.190",97.66637420654297,79.90447998046875,"151.1,151.1,0.2696,141.8,47.04,102.8,94,93.32",20.398958206176758,24.611705780029297,"21.16,21.16,1.849,19.47,29.1,23.52,23.02,23.91"
0,o_proj,gptq,4096,4096,0,0.0020078420639038086,0.0014622211456298828,0.9637341980197789,0.01476060817419403,6.463016986846924,4.465319633483887,0.00027794373454526067,0.0007374166743829846,0.00025488436222076416,0.0006334310746751726,0.43609657883644104,0.9557728171348572,0.20493890345096588,"3808,3719,2355,105,3746,2227,3821,3785,3975,1380,1374,3825,4064,4081,4077,3735",88.69654846191406,,,,,0,0.00010737111006164923,0.0003192482399754226,0.00014388893032446504,0.00032737397123128176,"0.151,0.151,0.146,0.350,0.386,0.424,0.507,0.450",281.4664611816406,404.9309997558594,"143.5,143.5,70.69,201.8,367.2,417.1,514.2,393.7",0.5252017974853516,0.47846177220344543,"0.6159,0.6159,0.4235,0.4715,0.5515,0.5156,0.5164,0.4914"
0,gate_proj,gptq,14336,4096,0,0.002026898520333426,0.0015144859041486467,6.415117010273155,0.010691486463774148,41.339229583740234,36.83470153808594,1.844918966293335,4.679010391235352,1.8698790073394775,4.4321818351745605,0.6683040857315063,6.394092559814453,0.054098695516586304,"3034,1387,2702,3570,3175,291,34,3565,3826,2290,1517,3609,3423,1846,1007,3178",41.68765640258789,,,,,0,0.942266583442688,2.4003493785858154,0.9638379216194153,2.2432968616485596,"0.081,0.081,0.488,0.705,0.285,0.532,0.517,0.522",856.299560546875,888.4805908203125,"219.4,219.4,253.5,1906,548.8,1296,1214,1193",15.884385108947754,15.48808765411377,"17.59,17.59,8.768,17.99,15.17,16.97,16.63,16.37"
0,up_proj,gptq,14336,4096,0,0.0020346641540527344,0.0015321459089006697,5.276581790655614,0.009914845762696495,36.18495178222656,31.968616485595703,1.6420536041259766,4.03770637512207,1.6459227800369263,3.8053064346313477,0.6683040857315063,5.264410018920898,0.043915022164583206,"3034,1387,2702,3570,3175,291,34,3565,3826,2290,3609,1517,1846,3423,1007,3178",41.68765640258789,,,,,0,0.8283689022064209,2.0567991733551025,0.8548656105995178,1.9377697706222534,"0.091,0.091,0.464,0.721,0.290,0.539,0.527,0.532",856.299560546875,888.4805908203125,"219.4,219.4,253.5,1906,548.8,1296,1214,1193",15.884385108947754,15.48808765411377,"17.59,17.59,8.768,17.99,15.17,16.97,16.63,16.37"
0,down_proj,gptq,4096,14336,0,0.0019864184515816824,0.00154355594090053,3.453792297066002,0.006971214799725248,33.574893951416016,30.27346420288086,0.0011022151447832584,0.004743640311062336,0.0030067614279687405,0.16110751032829285,0.9997469186782837,3.3018407821655273,0.3326287269592285,"3436,2354,9677,11909,712,10861,5754,7646,11385,3359,1333,10801,11968,4423,5029,7642",8083.00146484375,,,,,0,0.0020494479686021805,0.16435715556144714,0.0006114282878115773,0.0008527751779183745,"0.007,0.007,1.451,0.728,0.691,0.726,0.792,0.724",2193.130615234375,2009.4036865234375,"233.8,233.8,2055,4179,2383,3028,3016,2417",4.744939804077148,0.5962614417076111,"16.77,16.77,0.8086,0.9446,0.6411,0.7192,0.6655,0.6447"
1,q_proj,gptq,4096,4096,0,0.0018963813781738281,0.0014659762382507324,2.193261064864211,0.008124365447501709,18.205961227416992,19.501766204833984,5.756572723388672,80.13471984863281,6.738768100738525,59.0177001953125,0.9850374460220337,2.179860830307007,0.3160811960697174,"1935,104,3398,155,2070,3646,3175,678,2191,1113,271,2960,2061,3150,393,932",637.3612060546875,,,,,0,3.534409284591675,25.464685440063477,2.9913740158081055,36.37104034423828,"1.566,1.566,0.299,0.125,0.068,0.097,0.103,0.091",169.1723175048828,165.3852081298828,"84.34,84.34,236.8,231,146.5,194.2,197,179.2",44.308021545410156,55.777931213378906,"14.6,14.6,44.12,55.97,58.79,56.25,54.88,55.25"
1,k_proj,gptq,1024,4096,0,0.0019073486328125,0.001455068588256836,1.1422731258633207,0.011258929942586924,7.321138381958008,8.429683685302734,2.784025192260742,49.461849212646484,3.5536317825317383,37.16328048706055,0.9850374460220337,1.1314809322357178,0.3335430920124054,"3398,1935,104,155,2070,3646,1113,678,2191,3175,3150,2960,271,2061,3072,4063",637.3612060546875,,,,,0,1.8796347379684448,16.22618293762207,1.4894002676010132,22.650415420532227,"1.107,1.107,0.263,0.094,0.051,0.074,0.081,0.074",169.1723175048828,165.3852081298828,"84.34,84.34,236.8,231,146.5,194.2,197,179.2",44.308021545410156,55.777931213378906,"14.6,14.6,44.12,55.97,58.79,56.25,54.88,55.25"
1,v_proj,gptq,1024,4096,0,0.0018992424011230469,0.001489877700805664,0.04541128928914454,0.0018158406205513293,1.4870636463165283,1.4644497632980347,0.16871701180934906,1.1522129774093628,0.16001582145690918,0.9111860990524292,0.9850374460220337,0.04489421844482422,0.20758673548698425,"104,3175,3646,1113,271,2061,3398,2191,3150,155,393,4063,1935,3072,3743,932",637.3612060546875,,,,,0,0.07782404869794846,0.4032556414604187,0.08545715361833572,0.5556067824363708,"0.748,0.748,0.324,0.204,0.127,0.180,0.190,0.165",169.1723175048828,165.3852081298828,"84.34,84.34,236.8,231,146.5,194.2,197,179.2",44.308021545410156,55.777931213378906,"14.6,14.6,44.12,55.97,58.79,56.25,54.88,55.25"
