layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected
0,q_proj,gptq,2048,2304,5,0.0020813412136501735,0.0015010833740234375,16.821640500202193,0.02587347514962017,56.34062576293945,40.781673431396484,33.50997543334961,148.44308471679688,41.17152786254883,217.37852478027344,0.9953505396842957,16.79427719116211,0.17207297682762146,"1393,1807,682,714,1261,561,1699,2106,1570,2269,1148,291,334,1704,2052,567",587.3489379882812,,,,,0
0,k_proj,gptq,1024,2304,5,0.002109527587890625,0.001499599880642361,7.9583543267144705,0.022756948035768915,28.334449768066406,20.625431060791016,17.33362579345703,74.7111587524414,20.30562973022461,112.31179809570312,0.9953505396842957,7.915751934051514,0.12799204885959625,"1393,1807,1261,714,561,682,2106,1699,1570,2269,1148,291,334,2099,1704,2257",587.3489379882812,,,,,0
0,v_proj,gptq,1024,2304,5,0.0020959642198350695,0.001434750027126736,5.627270492412208,0.02397551919762308,20.071989059448242,14.590856552124023,12.254270553588867,49.52064514160156,14.2872896194458,64.48992156982422,0.9953505396842957,5.613626956939697,0.12933605909347534,"1393,1807,1261,714,682,561,1699,2106,1148,1570,291,2269,567,2099,1704,2257",587.3489379882812,,,,,0
0,o_proj,gptq,2304,2048,0,0.0021985371907552085,0.0014964209662543403,16.207899390370585,0.029887866134417924,49.85332489013672,32.249900817871094,1.2199406623840332,7.075141906738281,1.4493787288665771,6.889795303344727,0.6904676556587219,16.168989181518555,0.0372803658246994,"70,83,228,484,326,100,348,69,130,11,76,80,50,138,29,123",52.95514678955078,,,,,0
0,gate_proj,gptq,9216,2304,1,0.0021239857614776233,0.00145443574881848,49.683828844106756,0.03449992734771557,134.54502868652344,85.67974090576172,109.59780883789062,433.63433837890625,154.3188934326172,471.020751953125,0.4277028441429138,49.58086395263672,0.2199094295501709,"881,586,1393,334,122,482,1304,535,1670,650,153,430,584,53,910,1712",373.3393249511719,,,,,0
0,up_proj,gptq,9216,2304,1,0.002107737976827739,0.0014185964325327933,32.75847871002043,0.02419540086409373,111.87236022949219,80.20382690429688,86.85498046875,338.6826171875,104.16171264648438,384.6842956542969,0.4277028441429138,32.68956756591797,0.13348734378814697,"1393,586,334,881,122,482,1670,535,1304,650,153,430,584,53,2001,910",373.3393249511719,,,,,0
0,down_proj,gptq,2304,9216,0,0.002018963849103009,0.001422175654658565,54.81488134304891,0.04402591060706502,133.08096313476562,77.09980773925781,0.6677215099334717,4.165047645568848,2.7453818321228027,3.493100881576538,0.36254069209098816,54.566017150878906,0.20340587198734283,"6887,5860,0,5959,1242,338,5537,7218,5183,1588,528,8712,7307,5653,1091,858",581.5216064453125,,,,,0
1,q_proj,gptq,2048,2304,0,0.002064387003580729,0.001472261216905382,14.954794894088991,0.02391915763819949,54.24089431762695,40.69975280761719,67.81610107421875,194.7538604736328,87.75799560546875,166.1521759033203,0.6076371669769287,14.939428329467773,0.07532476633787155,"1046,1393,1261,1570,1405,1704,243,988,113,367,1150,1699,1824,1651,586,2257",90.7153549194336,,,,,0
1,k_proj,gptq,1024,2304,0,0.0020662943522135415,0.0014550950792100695,7.705327574221883,0.02301242820033131,28.20476722717285,21.071006774902344,35.500831604003906,101.03317260742188,45.53119659423828,88.26119995117188,0.6076371669769287,7.6953840255737305,0.07469005137681961,"1046,1393,1261,1405,243,1570,1704,988,113,1150,367,1699,1651,1824,586,2257",90.7153549194336,,,,,0
1,v_proj,gptq,1024,2304,0,0.0021069844563802085,0.0015055338541666667,6.202142206122517,0.020682980713514564,23.892942428588867,17.696643829345703,30.458351135253906,77.86128997802734,38.87626266479492,67.59496307373047,0.6076371669769287,6.188270568847656,0.05513136461377144,"1046,1393,1261,1704,1405,113,988,1570,1150,367,1699,1824,1651,2257,586,989",90.7153549194336,,,,,0
