tag,layer,head,A,delta
gptq8,0,0,0.0055242735,1.2824312e-06
gptq8,0,1,0.008257307,1.5258789e-05
gptq8,0,2,0.008226197,1.5686266e-05
gptq8,0,3,0.012899728,-0.0001175981
gptq8,0,4,0.0043020905,-1.3844576e-05
gptq8,0,5,0.007790401,6.577e-06
gptq8,0,6,0.009130478,2.6440248e-05
gptq8,0,7,0.005956847,2.433546e-06
gptq8,0,8,0.004375984,4.931353e-07
gptq8,0,9,0.0031275915,-4.932983e-06
gptq8,0,10,0.012939979,1.21016055e-05
gptq8,0,11,0.0065574646,-1.1279713e-05
gptq8,0,12,0.0072844275,2.433546e-06
gptq8,0,13,0.005164212,2.022367e-06
gptq8,0,14,0.0043732217,-1.3261102e-05
gptq8,0,15,0.012284114,0.0
gptq8,0,16,0.011112871,-4.7617592e-05
gptq8,0,17,0.0035623848,8.529518e-06
gptq8,0,18,0.0043136002,-7.853005e-05
gptq8,0,19,0.014138387,-3.091246e-05
gptq8,0,20,0.0066532926,-3.4792814e-05
gptq8,0,21,0.01395653,-1.7888844e-05
gptq8,0,22,0.0048139505,-2.5946181e-05
gptq8,0,23,0.0087877475,-7.8596175e-05
gptq8,0,24,0.008014153,-5.531311e-05
gptq8,0,25,0.005817841,-1.6335864e-05
gptq8,0,26,0.007996394,-6.2942505e-05
gptq8,0,27,0.0057857446,-2.672756e-05
gptq8,1,0,0.008909423,-1.3811514e-06
gptq8,1,1,0.0075982194,5.1297247e-06
gptq8,1,2,0.0039265403,1.3828278e-05
gptq8,1,3,0.012197297,-2.8936192e-06
gptq8,1,4,0.0056000827,7.5716525e-06
gptq8,1,5,0.0040689665,1.2003351e-05
gptq8,1,6,0.003116772,4.143687e-06
gptq8,1,7,0.0021834867,-2.893852e-06
gptq8,1,8,0.006496495,1.545623e-05
gptq8,1,9,0.0031245002,7.5623393e-07
gptq8,1,10,0.00503152,4.6696514e-06
gptq8,1,11,0.0046339366,-2.4532434e-05
gptq8,1,12,0.00501978,-1.2200326e-05
gptq8,1,13,0.0031356483,1.9073486e-06
gptq8,1,14,0.007988502,3.222376e-06
gptq8,1,15,0.009147775,-1.6376376e-05
gptq8,1,16,0.00785262,-2.0915642e-05
gptq8,1,17,0.007593418,2.6309863e-06
gptq8,1,18,0.0048064855,-1.0849908e-06
gptq8,1,19,0.012791864,-5.655922e-06
gptq8,1,20,0.0046546543,2.2687018e-06
gptq8,1,21,0.006860963,-1.4961697e-06
gptq8,1,22,0.009357485,-3.936328e-05
gptq8,1,23,0.007508245,5.525071e-06
gptq8,1,24,0.0069753714,1.6311184e-05
gptq8,1,25,0.0089982785,-1.2299046e-05
gptq8,1,26,0.009258928,-1.4337711e-05
gptq8,1,27,0.0045261383,5.327631e-06
gptq8,2,0,0.0018402461,-9.339419e-06
gptq8,2,1,0.0026857606,-2.7939677e-07
gptq8,2,2,0.0035034048,1.019449e-05
gptq8,2,3,0.0025447977,-1.4798483e-05
gptq8,2,4,0.0018683138,-2.6670052e-05
gptq8,2,5,0.003713575,-1.00957695e-05
gptq8,2,6,0.0017561419,5.5576675e-06
gptq8,2,7,0.006173298,2.3678876e-06
gptq8,2,8,0.0062639304,-2.2361986e-05
gptq8,2,9,0.0067633595,-1.3811514e-06
