tag,layer,head,A,delta
fp16,5,10,0.0046587153,0.0
fp16,5,11,0.0009490457,0.0
fp16,5,12,0.005030599,0.0
fp16,5,13,0.0029409672,0.0
fp16,5,14,0.0025069632,0.0
fp16,5,15,0.00041716264,0.0
fp16,5,16,0.0016345731,0.0
fp16,5,17,0.00087838335,0.0
fp16,5,18,0.00026000573,0.0
fp16,5,19,0.00080737367,0.0
fp16,5,20,0.0004073546,0.0
fp16,5,21,0.00068991963,0.0
fp16,5,22,0.0024165942,0.0
fp16,5,23,0.0044227717,0.0
fp16,5,24,0.0030495217,0.0
fp16,5,25,0.0013595202,0.0
fp16,5,26,0.0014474475,0.0
fp16,5,27,0.010440004,0.0
fp16,6,0,0.0021308702,0.0
fp16,6,1,0.0025959671,0.0
fp16,6,2,0.0036165302,0.0
fp16,6,3,0.0039363564,0.0
fp16,6,4,0.0018167907,0.0
fp16,6,5,0.0017145975,0.0
fp16,6,6,0.0066583897,0.0
fp16,6,7,0.006892895,0.0
fp16,6,8,0.0069127246,0.0
fp16,6,9,0.007957525,0.0
fp16,6,10,0.005397599,0.0
fp16,6,11,0.0034088185,0.0
fp16,6,12,0.0016309804,0.0
fp16,6,13,0.003318836,0.0
fp16,6,14,0.003544676,0.0
fp16,6,15,0.008504801,0.0
fp16,6,16,0.006889442,0.0
fp16,6,17,0.002891968,0.0
fp16,6,18,0.0010521165,0.0
fp16,6,19,0.0019211933,0.0
fp16,6,20,0.003402036,0.0
fp16,6,21,0.0073808474,0.0
fp16,6,22,0.006359298,0.0
fp16,6,23,0.00711349,0.0
fp16,6,24,0.003115095,0.0
fp16,6,25,0.0026053395,0.0
fp16,6,26,0.0032484531,0.0
fp16,6,27,0.0032650027,0.0
fp16,7,0,0.0049025766,0.0
fp16,7,1,0.0045237048,0.0
fp16,7,2,0.0077191056,0.0
fp16,7,3,0.004046029,0.0
fp16,7,4,0.0059376257,0.0
fp16,7,5,0.0053951,0.0
fp16,7,6,0.001979088,0.0
fp16,7,7,0.0074466835,0.0
fp16,7,8,0.005981363,0.0
fp16,7,9,0.005832376,0.0
fp16,7,10,0.002148661,0.0
fp16,7,11,0.008189513,0.0
fp16,7,12,0.007138318,0.0
fp16,7,13,0.006546481,0.0
fp16,7,14,0.0047669574,0.0
fp16,7,15,0.0015441878,0.0
fp16,7,16,0.0051574707,0.0
fp16,7,17,0.0040936964,0.0
fp16,7,18,0.0052029346,0.0
fp16,7,19,0.0011659737,0.0
fp16,7,20,0.0065145823,0.0
fp16,7,21,0.004975615,0.0
fp16,7,22,0.0090761185,0.0
fp16,7,23,0.002907675,0.0
fp16,7,24,0.0053438316,0.0
fp16,7,25,0.0018515423,0.0
fp16,7,26,0.0046744184,0.0
fp16,7,27,0.0061121974,0.0
fp16,8,0,0.007230298,0.0
fp16,8,1,0.00787268,0.0
fp16,8,2,0.008486024,0.0
fp16,8,3,0.0038800074,0.0
fp16,8,4,0.006657798,0.0
fp16,8,5,0.005172565,0.0
fp16,8,6,0.007370587,0.0
fp16,8,7,0.0050624977,0.0
fp16,8,8,0.0030672962,0.0
fp16,8,9,0.006128147,0.0
fp16,8,10,0.009075231,0.0
fp16,8,11,0.0071926774,0.0
fp16,8,12,0.0069739902,0.0
fp16,8,13,0.006541976,0.0
fp16,8,14,0.0064242133,0.0
fp16,8,15,0.0058012996,0.0
fp16,8,16,0.0015227548,0.0
fp16,8,17,0.0025631806,0.0
fp16,8,18,0.0035382633,0.0
fp16,8,19,0.0013702656,0.0
fp16,8,20,0.0036553186,0.0
fp16,8,21,0.0020042781,0.0
fp16,8,22,0.0011202323,0.0
fp16,8,23,3.8948554e-05,0.0
fp16,8,24,0.00183452,0.0
fp16,8,25,0.0011329979,0.0
fp16,8,26,0.0014378079,0.0
fp16,8,27,0.00048166103,0.0
fp16,9,0,0.008985322,0.0
fp16,9,1,0.0066963723,0.0
fp16,9,2,0.0033739312,0.0
fp16,9,3,0.0016724652,0.0
fp16,9,4,0.0069351606,0.0
fp16,9,5,0.009031098,0.0
fp16,9,6,0.007924606,0.0
fp16,9,7,0.0048561427,0.0
fp16,9,8,0.0011513561,0.0
fp16,9,9,0.0019170169,0.0
fp16,9,10,0.0016188704,0.0
fp16,9,11,0.004536119,0.0
fp16,9,12,0.0072760745,0.0
fp16,9,13,0.006163301,0.0
fp16,9,14,0.004921354,0.0
