tag,layer,head,A,delta
gptq4,4,20,0.0011133819,-6.073923e-05
gptq4,4,21,0.005660156,-9.2210714e-05
gptq4,4,22,0.0020592788,-0.00014910195
gptq4,4,23,0.002785617,-0.00015826081
gptq4,4,24,0.0023530598,-7.2890194e-05
gptq4,4,25,0.004498778,-8.928403e-05
gptq4,4,26,0.0021186369,-3.1158794e-05
gptq4,4,27,0.0023566443,-3.9281324e-05
gptq4,5,0,0.0027094462,0.0004237562
gptq4,5,1,0.003554821,0.0004029274
gptq4,5,2,0.005514704,1.45020895e-05
gptq4,5,3,0.0053879144,-0.0003165044
gptq4,5,4,0.0037495678,0.00021473295
gptq4,5,5,0.0008568517,0.00014654524
gptq4,5,6,0.0010366337,9.319908e-05
gptq4,5,7,0.0018247243,-3.0402443e-05
gptq4,5,8,0.0017100779,-7.75354e-05
gptq4,5,9,0.0037170278,-0.00025962968
gptq4,5,10,0.003986178,0.00067253737
gptq4,5,11,0.0010016869,-5.2641204e-05
gptq4,5,12,0.0046912883,0.00033931062
gptq4,5,13,0.0028374114,0.00010355585
gptq4,5,14,0.0024959466,1.1016615e-05
gptq4,5,15,0.00036548747,5.167516e-05
gptq4,5,16,0.0015505018,8.4071304e-05
gptq4,5,17,0.0008234731,5.4910255e-05
gptq4,5,18,0.0002585896,1.4161342e-06
gptq4,5,19,0.0007565083,5.0865347e-05
gptq4,5,20,0.00046261426,-5.5259676e-05
gptq4,5,21,0.0006897388,1.808512e-07
gptq4,5,22,0.0023043074,0.00011228677
gptq4,5,23,0.0041823057,0.00024046609
gptq4,5,24,0.0027112304,0.00033829128
gptq4,5,25,0.0013295782,2.994202e-05
gptq4,5,26,0.0014818249,-3.4377445e-05
gptq4,5,27,0.010030566,0.00040943827
gptq4,6,0,0.0024195868,-0.00028871652
gptq4,6,1,0.0026934065,-9.743939e-05
gptq4,6,2,0.0037463945,-0.00012986432
gptq4,6,3,0.003585092,0.00035126437
gptq4,6,4,0.0018930312,-7.624051e-05
gptq4,6,5,0.0015578825,0.00015671493
gptq4,6,6,0.006859582,-0.00020119222
gptq4,6,7,0.007015031,-0.00012213597
gptq4,6,8,0.007164692,-0.00025196746
gptq4,6,9,0.008330839,-0.00037331413
gptq4,6,10,0.0051756236,0.00022197561
gptq4,6,11,0.002988577,0.00042024162
gptq4,6,12,0.0016875267,-5.6546298e-05
gptq4,6,13,0.0030987838,0.0002200522
gptq4,6,14,0.0032454852,0.00029919064
gptq4,6,15,0.0080583505,0.0004464509
gptq4,6,16,0.0062658703,0.0006235717
gptq4,6,17,0.0026693016,0.00022266642
gptq4,6,18,0.0010015636,5.0552888e-05
gptq4,6,19,0.0019107523,1.0441057e-05
gptq4,6,20,0.0032170722,0.00018496369
gptq4,6,21,0.0073016267,7.922063e-05
gptq4,6,22,0.006752738,-0.00039344002
gptq4,6,23,0.006180336,0.000933154
gptq4,6,24,0.0030471866,6.790832e-05
gptq4,6,25,0.0026878323,-8.249283e-05
gptq4,6,26,0.0030983398,0.00015011337
gptq4,6,27,0.0033458513,-8.084858e-05
gptq4,7,0,0.0047104275,0.00019214908
gptq4,7,1,0.004361975,0.00016172975
gptq4,7,2,0.007776852,-5.7746656e-05
gptq4,7,3,0.0038770314,0.00016899756
gptq4,7,4,0.0057244957,0.00021312991
gptq4,7,5,0.0052280426,0.00016705738
gptq4,7,6,0.002148538,-0.00016944995
gptq4,7,7,0.008055457,-0.00060877344
gptq4,7,8,0.0068990937,-0.00091773085
gptq4,7,9,0.006762077,-0.00092970114
gptq4,7,10,0.0025128084,-0.00036414736
gptq4,7,11,0.009190066,-0.0010005524
gptq4,7,12,0.007548036,-0.00040971814
gptq4,7,13,0.0071177976,-0.0005713166
gptq4,7,14,0.0054651788,-0.0006982214
gptq4,7,15,0.0019293325,-0.00038514473
gptq4,7,16,0.0056843595,-0.00052688876
gptq4,7,17,0.0050370446,-0.0009433483
gptq4,7,18,0.005951339,-0.0007484043
