prompt,dW,T,n_tpl,L0,q_full,q_diag,q_diag_std,ratio_full_over_diag,first_order,finite_diff,q_diag_tpl,q_diag_ord
0,lesion,111,8,469.2026672363281,-110.51130676269531,-335.1908874511719,118.88550567626953,-110511306762695.31,27.727088928222656,21.557403564453125,-190.03799438476562,-166.6445770263672
0,rtn,111,8,469.2026672363281,-3.8357253074645996,-4.18432092666626,5.020177364349365,-3835725307464.5996,-2.437912940979004,1.744110107421875,nan,nan
0,random,111,8,469.2026672363281,546.5804443359375,352.52630615234375,292.85919189453125,1.5504671135087817,-68.78215789794922,6.462127685546875,nan,nan
1,lesion,74,8,332.15875244140625,-164.29641723632812,-329.56024169921875,241.43011474609375,-164296417236328.12,30.70711898803711,23.2806396484375,-208.8997802734375,-116.04457092285156
1,rtn,74,8,332.15875244140625,-15.43069076538086,-4.889549255371094,5.4416890144348145,-15430690765380.86,-9.927490234375,-5.867095947265625,nan,nan
1,random,74,8,332.15875244140625,157.22726440429688,87.40448760986328,110.7280044555664,1.7988465890457819,-31.010892868041992,-21.939788818359375,nan,nan
2,lesion,74,8,352.2330017089844,-109.85665130615234,-342.9779357910156,237.97389221191406,-109856651306152.34,30.27701187133789,17.980316162109375,-187.21751403808594,-133.3704376220703
2,rtn,74,8,352.2330017089844,-6.77247953414917,-0.09493589401245117,8.113832473754883,-6772479534149.17,-9.885446548461914,0.983978271484375,nan,nan
2,random,74,8,352.2330017089844,399.97613525390625,110.41022491455078,189.40811157226562,3.6226367219472446,-63.280433654785156,-23.898284912109375,nan,nan
3,lesion,112,8,511.4146728515625,-74.41024780273438,-312.8916015625,134.59022521972656,-74410247802734.38,20.368972778320312,12.65179443359375,-188.16424560546875,-117.54621887207031
3,rtn,112,8,511.4146728515625,81.58692169189453,25.370159149169922,52.54212188720703,3.2158616432866935,6.07918643951416,-6.50030517578125,nan,nan
3,random,112,8,511.4146728515625,772.8257446289062,89.38452911376953,202.40228271484375,8.646079498223298,-77.07057189941406,1.057861328125,nan,nan
4,lesion,76,8,380.7767028808594,-84.86732482910156,-314.70062255859375,131.20655822753906,-84867324829101.56,22.650463104248047,28.007415771484375,-184.3145751953125,-96.69711303710938
4,rtn,76,8,380.7767028808594,-10.294902801513672,-2.7158610820770264,4.20738410949707,-10294902801513.672,-12.519123077392578,-4.386871337890625,nan,nan
4,random,76,8,380.7767028808594,164.19790649414062,184.9176025390625,80.10060119628906,0.8879517376365239,-65.45992279052734,-30.920928955078125,nan,nan
5,lesion,109,8,414.98919677734375,-106.56417846679688,-273.34661865234375,212.40504455566406,-106564178466796.88,36.64293670654297,19.88507080078125,-192.6067352294922,-57.82655334472656
