layer,proj,row,col
1,down_proj,788,0
1,down_proj,788,1
1,down_proj,788,2
1,down_proj,788,3
1,down_proj,788,4
1,down_proj,788,5
1,down_proj,788,6
1,down_proj,788,7
1,down_proj,788,8
1,down_proj,788,9
1,down_proj,788,10
1,down_proj,788,11
1,down_proj,788,12
1,down_proj,788,13
1,down_proj,788,14
1,down_proj,788,15
1,down_proj,788,16
1,down_proj,788,17
1,down_proj,788,18
1,down_proj,788,19
1,down_proj,788,20
1,down_proj,788,21
1,down_proj,788,22
1,down_proj,788,23
1,down_proj,788,24
1,down_proj,788,25
1,down_proj,788,26
1,down_proj,788,27
1,down_proj,788,28
1,down_proj,788,29
1,down_proj,788,30
1,down_proj,788,31
1,down_proj,788,32
1,down_proj,788,33
1,down_proj,788,34
1,down_proj,788,35
1,down_proj,788,36
1,down_proj,788,37
1,down_proj,788,38
1,down_proj,788,39
1,down_proj,788,40
1,down_proj,788,41
1,down_proj,788,42
1,down_proj,788,43
1,down_proj,788,44
1,down_proj,788,45
1,down_proj,788,46
1,down_proj,788,47
1,down_proj,788,48
1,down_proj,788,49
1,down_proj,788,50
1,down_proj,788,51
1,down_proj,788,52
1,down_proj,788,53
1,down_proj,788,54
1,down_proj,788,55
1,down_proj,788,56
1,down_proj,788,57
1,down_proj,788,58
1,down_proj,788,59
1,down_proj,788,60
1,down_proj,788,61
1,down_proj,788,62
1,down_proj,788,63
1,down_proj,788,64
1,down_proj,788,65
1,down_proj,788,66
1,down_proj,788,67
1,down_proj,788,68
1,down_proj,788,69
1,down_proj,788,70
1,down_proj,788,71
1,down_proj,788,72
1,down_proj,788,73
1,down_proj,788,74
1,down_proj,788,75
1,down_proj,788,76
1,down_proj,788,77
1,down_proj,788,78
1,down_proj,788,79
1,down_proj,788,80
1,down_proj,788,81
1,down_proj,788,82
1,down_proj,788,83
1,down_proj,788,84
1,down_proj,788,85
1,down_proj,788,86
1,down_proj,788,87
1,down_proj,788,88
1,down_proj,788,89
1,down_proj,788,90
1,down_proj,788,91
1,down_proj,788,92
1,down_proj,788,93
1,down_proj,788,94
1,down_proj,788,95
1,down_proj,788,96
1,down_proj,788,97
1,down_proj,788,98
1,down_proj,788,99
1,down_proj,788,100
1,down_proj,788,101
1,down_proj,788,102
1,down_proj,788,103
1,down_proj,788,104
1,down_proj,788,105
1,down_proj,788,106
1,down_proj,788,107
1,down_proj,788,108
1,down_proj,788,109
1,down_proj,788,110
1,down_proj,788,111
1,down_proj,788,112
1,down_proj,788,113
1,down_proj,788,114
1,down_proj,788,115
1,down_proj,788,116
1,down_proj,788,117
1,down_proj,788,118
1,down_proj,788,119
1,down_proj,788,120
1,down_proj,788,121
1,down_proj,788,122
1,down_proj,788,123
1,down_proj,788,124
1,down_proj,788,125
1,down_proj,788,126
1,down_proj,788,127
1,down_proj,788,128
1,down_proj,788,129
1,down_proj,788,130
1,down_proj,788,131
1,down_proj,788,132
1,down_proj,788,133
1,down_proj,788,134
1,down_proj,788,135
1,down_proj,788,136
1,down_proj,788,137
1,down_proj,788,138
1,down_proj,788,139
1,down_proj,788,140
1,down_proj,788,141
1,down_proj,788,142
1,down_proj,788,143
1,down_proj,788,144
1,down_proj,788,145
1,down_proj,788,146
1,down_proj,788,147
1,down_proj,788,148
1,down_proj,788,149
1,down_proj,788,150
1,down_proj,788,151
1,down_proj,788,152
1,down_proj,788,153
1,down_proj,788,154
1,down_proj,788,155
1,down_proj,788,156
1,down_proj,788,157
1,down_proj,788,158
1,down_proj,788,159
1,down_proj,788,160
1,down_proj,788,161
1,down_proj,788,162
1,down_proj,788,163
1,down_proj,788,164
1,down_proj,788,165
1,down_proj,788,166
1,down_proj,788,167
1,down_proj,788,168
1,down_proj,788,169
1,down_proj,788,170
1,down_proj,788,171
1,down_proj,788,172
1,down_proj,788,173
1,down_proj,788,174
1,down_proj,788,175
1,down_proj,788,176
1,down_proj,788,177
1,down_proj,788,178
1,down_proj,788,179
1,down_proj,788,180
1,down_proj,788,181
1,down_proj,788,182
1,down_proj,788,183
1,down_proj,788,184
1,down_proj,788,185
1,down_proj,788,186
1,down_proj,788,187
1,down_proj,788,188
1,down_proj,788,189
1,down_proj,788,190
1,down_proj,788,191
1,down_proj,788,192
1,down_proj,788,193
1,down_proj,788,194
1,down_proj,788,195
1,down_proj,788,196
1,down_proj,788,197
1,down_proj,788,198
1,down_proj,788,199
1,down_proj,788,200
1,down_proj,788,201
1,down_proj,788,202
1,down_proj,788,203
1,down_proj,788,204
1,down_proj,788,205
1,down_proj,788,206
1,down_proj,788,207
1,down_proj,788,208
1,down_proj,788,209
1,down_proj,788,210
1,down_proj,788,211
1,down_proj,788,212
1,down_proj,788,213
1,down_proj,788,214
1,down_proj,788,215
1,down_proj,788,216
1,down_proj,788,217
1,down_proj,788,218
1,down_proj,788,219
1,down_proj,788,220
1,down_proj,788,221
1,down_proj,788,222
1,down_proj,788,223
1,down_proj,788,224
1,down_proj,788,225
1,down_proj,788,226
1,down_proj,788,227
1,down_proj,788,228
1,down_proj,788,229
1,down_proj,788,230
1,down_proj,788,231
1,down_proj,788,232
1,down_proj,788,233
1,down_proj,788,234
1,down_proj,788,235
1,down_proj,788,236
1,down_proj,788,237
1,down_proj,788,238
1,down_proj,788,239
1,down_proj,788,240
1,down_proj,788,241
1,down_proj,788,242
1,down_proj,788,243
1,down_proj,788,244
1,down_proj,788,245
1,down_proj,788,246
1,down_proj,788,247
1,down_proj,788,248
1,down_proj,788,249
1,down_proj,788,250
1,down_proj,788,251
1,down_proj,788,252
1,down_proj,788,253
1,down_proj,788,254
1,down_proj,788,255
1,down_proj,788,256
